target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
pipe dream	An unrealistic or fanciful hope or plan.	A dream or fantasy experienced while smoking a pipe, generally referencing opium smoking.	In the sentence, 'I don't smoke often, but when I do I often experience some weird things in my sleep; my latest pipe dream had me sharing a hookah with the caterpillar from Alice in Wonderland,' the phrase 'pipe dream' seems to be used in its literal sense, referring to a dream or fantasy experienced while or after smoking. This interpretation is strengthened by the reference to 'sharing a hookah', as hookahs are types of pipes.	'Pipe dream' in this sentence literally refers to a dream or hallucination experienced after smoking, likely influenced by the chemicals in the smoke. This use contrasts with the idiomatic meaning, which refers to hopes or plans that are unrealistic or fanciful. The specific mention of a hookah and the fantastical content of the dream lean toward the literal interpretation.	literal
piece of cake	Something very easy or effortless.	A slice or serving of cake.	In the sentence, 'I thought the exam was going to be a piece of cake, but I was surprised by the second question,' the term 'piece of cake' is used to express the speaker's earlier belief that the exam would be easy, aligning with the idiomatic usage.	'Piece of cake' in this context is used idiomatically to refer to the speaker's expectation that the exam would be easy. The resulting surprise at the second question further confirms this interpretation. The context does not suggest a literal piece of cake.	idiomatic
rocket science	Something very difficult to understand or do; generally applied metaphorically to non-scientific tasks or subjects.	The science involved in the design and construction of rockets and their propulsion.	In the sentence, 'Long before the development of modern rockets, Sir Isaac Newton described the principles of rocket science in three laws of motion,' the term 'rocket science' is used to refer to the literal scientific principles involved in rocket design and propulsion. It is not used in the idiomatic sense of something very complicated or hard to understand.	'Rocket science' in this sentence describes the scientific principles related to rockets, as laid out by Isaac Newton. This usage matches the literal meaning of the term, not the idiomatic use as a metaphor for something extremely complex or difficult.	literal
brass ring	A valuable opportunity, reward, or objective that one strives to achieve.	A ring made of brass.	In the sentence, 'Too many fantasy writers have tried for the brass ring and failed miserably in the attempt,' the phrase 'brass ring' appears to be used in its idiomatic sense. The context of 'trying' and 'failing' is consistent with the concept of reaching for a valuable, but potentially elusive, goal or prize.	'Brass ring' in this sentence most likely refers to a valuable goal or opportunity that many fantasy writers have tried to achieve but failed. It does not indicate an actual, physical ring made of brass.	idiomatic
apples and oranges	Two things that are fundamentally different and hence not comparable.	The fruits apple and orange.	In the sentence, 'Smashing Pumpkins or Nirvana? It's kind of apples and oranges for me - they both have charms and I liked them for different reasons,' the phrase 'apples and oranges' is used to show that comparing the two music bands is like comparing two different things, in line with the idiomatic usage of the term.	'Apples and oranges' in this context is used to denote the dissimilarity between the two bands, suggesting that comparing them is not appropriate or meaningful due to their differing characteristics or appeal. The sentence does not suggest a comparison between the literal fruits apple and orange.	idiomatic
nest egg	An amount of money saved for the future.	An egg in a bird's nest.	In the sentence, 'I climbed the tree to get a closer look, and to my surprise, I found a nest egg tucked away in the branches,' the term 'nest egg' is used to refer to an actual egg found in a nest. There is no mention or implication of money or savings in the context.	'Nest egg' in this context refers to a literal egg located in a nest within a tree. The context of climbing a tree and finding an egg aligns with the literal interpretation, not the idiomatic use referring to savings.	literal
ghost town	A deserted town or settlement that was once populated but is now abandoned, often evoking a sense of desolation or emptiness.	A town inhabited by ghosts or supernatural entities.	In the sentence, 'With the mines closing down in the early 1990's it tumbled into the darkness of a small, quiet ghost town,' the term 'ghost town' is used to describe an abandoned town that became deserted after the mines closed down - aligning with its idiomatic meaning.	'Ghost town' in this sentence is used to refer to a deserted town that became quiet and empty after the mines closed in the early 1990s. This usage aligns with the idiomatic interpretation, with no suggestion of haunting by actual ghosts.	idiomatic
bull market	A financial market in which prices are rising or are expected to rise.	A market where bulls are bought and sold.	In the sentence, 'Desperate for a solution to her family's financial worries, she headed to the annual bull market with their prize stud in tow,' the term 'bull market' refers to a marketplace where bulls are being sold, which implies its literal meaning.	'Bull market' in this context refers to a literal market where bulls are being sold. The woman brings a bull ('prize stud') to sell, which also supports the literal interpretation of a market for trading bulls. This is opposed to its idiomatic usage to describe favorable stock market conditions.	literal
beached whale	Used to describe something or someone that is stuck, unable to move, or out of place.	A whale that has strayed from the sea onto a beach.	In the sentence, 'Emotions flowed over the beached whale that washed up on the shores of Paraparaumu on Wednesday, and was subsequently buried yesterday,' the term 'beached whale' is used to describe an actual whale that has washed up on the beach, in line with the literal meaning.	'Beached whale' in this sentence refers to a literal whale that has stranded on a beach and subsequently died. This is consistent with the literal interpretation of a whale that has found itself out of its sea habitat and onto a beach. The context does not suggest anything or anyone being stuck, unable to move or out of place in the idiomatic sense.	literal
flower child	A young person, especially a hippie, rejecting conventional society and advocating love, peace, and simple, idealistic values.	A child associated with flowers or a child made from flowers.	In the sentence, 'Many of the images here are affectingly representative of their times, including flower children placing daisies into the rifles of US soldiers,' the term 'flower child' is used to refer to people, likely young or from the hippie movement, engaging in a peace demonstration, aligning with its idiomatic meaning.	'Flower child' in this context refers to people, presumably young and aligning themselves with peace and love values, as illustrated by their act of placing daisies into rifles. The context clues - the mention of a representation of specific times (most likely the 60s, when hippie culture was prevalent) and placing flowers in weapons (a quintessential peace demonstration) - support the idiomatic interpretation.	idiomatic
copy cat	An individual or entity that mimics or replicates the actions, behavior, or style of another.	A cat that creates copies or duplicates.	In the sentence, 'If they got the Ripper, the crimes of the copy cat could be dealt with easily,' the phrase 'copy cat' can't be interpreted literally as the context does not involve any cats or copying action. Instead, the context suggests a criminal who mimics the crimes of another, aligning with the idiomatic meaning of the term.	In this sentence, 'copy cat' refers to an individual who replicates the criminal behavior of someone else (in this context, the 'Ripper'). The scenario suggests that once the original criminal has been contained, it will be easier to deal with the imitator, implying this 'copy cat' is less dangerous or competent.	idiomatic
lounge lizard	A man who frequents social venues in an attempt to court women, often characterized as sleazy or superficial.	A reptile, specifically a lizard, located in a lounge or casual, relaxed area.	In the sentence, 'Our lounge lizard likes to sit on the arm of the couch and warm his scales in a sunbeam while we watch TV,' the term 'lounge lizard' appears to be used literally. The context talks about scales and sunbathing, both of which are more associated with a real lizard than an idiomatically oriented man.	Here, 'lounge lizard' refers to an actual lizard that tends to spend time lounging in sunny areas, specifically on the arm of a couch in this case. The context highlights typical behavior of a lizard (sunbathing, relaxing), and contrasts the idiomatic interpretation centered on human social habits.	literal
secret santa	In a gift exchange game, a person who anonymously gives a present to a recipient as part of a group where each person has been randomly assigned someone for whom to buy a gift.	A Santa Claus or similar figure who is hidden or unknown.	In the sentence, 'She got very annoyed when some wag got her a puncture repair kit as a secret santa,' the phrase 'secret santa' clearly aligns with the idiomatic usage, referring to a group gift exchange game rather than an actual covert Santa Claus figure.	In this sentence, 'secret santa' refers to an anonymous person in a gift exchange who gave the recipient an unwanted gift (a puncture repair kit). The sentence doesn't contain any references to the literal interpretation of the term, supporting the idiomatic usage.	idiomatic
dirty word	A term or idea that is considered controversial, taboo, or offensive.	A word that is physically filthy or unclean.	In the sentence, 'We spend our formative years being obsessed with the city and considering suburb as a dirty word,' the term 'dirty word' is used metaphorically, referring to 'suburb' as a concept looked down upon or regarded as inferior, suggestive of the idiomatic usage of the term.	Here, 'dirty word' represents 'suburb' as an unfavorable, disliked term or concept, signifying the inferior regard of suburban life in comparison to urban living. The scenario does not involve anything physically unclean, affirming the idiomatic interpretation.	idiomatic
close shave	A narrow escape or avoidance from a dangerous situation or a potential disaster.	A very close or precise haircut or the act of shaving.	In the sentence, 'But Swindon had a similar close shave in the last seconds of full time as Philliskirk hit the crossbar and the game went into extra time,' 'close shave' is used idiomatically to signify a narrow escape from a potential defeat in a game.	The phrase 'close shave' in this context emphasizes the narrowly avoided defeat for the Swindon team, when a significant play in the game ('Philliskirk hit the crossbar') almost resulted in a loss. This situation has no relation to literal shaving or hair cutting, therefore, the idiomatic usage is more fitting.	idiomatic
donkey work	Hard, tedious, or monotonous work, often characterized by being physically demanding, repetitive, or uncomplicated.	Work performed by an actual donkey, typically bearing loads.	In the sentence, 'Each year he was able to persuade half a dozen of his friends from upcountry to come down to St Ives and do the festival's donkey work in return for a fortnight's accommodation,' the phrase 'donkey work' alludes to hard, laborious tasks related to organizing a festival, matching the idiomatic interpretation.	In this example, 'donkey work' refers to tedious or labor-intensive tasks associated with preparing and running the festival, which the friends agreed to perform in exchange for two weeks of accommodation. The context does not suggest anything related to literal work performed by donkeys, affirming the idiomatic interpretation.	idiomatic
bear market	A market condition in which securities prices fall and widespread pessimism causes the stock market's downward spiral to be self-sustaining. It is generally accepted that a drop of 20% or more from the peak over a two-month period is an indicator of a bear market.	A market where bears are bought, sold, or traded; or a market dominated or frequented by bears.	In the sentence, 'I was shocked to have stumbled across a back-street bear market where the poor animals were caged and prodded with sticks to enrage them,' the term 'bear market' is used literally, referring to an actual marketplace where bears are caged and mistreated, instead of the stock market term.	In this context, 'bear market' denotes an actual physical market where bears are kept, bypassing the idiomatic usage entirely. This market differs vastly from the concept of a financial market in freefall. Animals are mistreated here, a context scenario incompatible with the idiomatic usage of the phrase.	literal
top dog	The person, group, or nation having dominant power or control, the leader or the best.	The highest positioned dog or a dominant dog in a pack or hierarchy of dogs.	In the sentence 'We now face a future where we're no longer top dog,' the phrase 'top dog' is used idiomatically to refer to a position of dominance or leadership that is being lost.	In this context, 'top dog' indicates a status of supremacy or leadership that the speaker's group previously held but is now decreasing or lost. The scenario does not involve any dogs or literal hierarchy among dogs, supportive of the idiomatic interpretation.	idiomatic
dog's dinner	A situation that's gone awry, often due to overcomplication or mishandling; a mess or state of confusion.	A meal or food intended for a dog.	In the sentence, 'Among a whole myriad of amendments, which make the bill a complete dog's dinner because they are contradictory, inconsistent, and unconstitutional,' the phrase 'dog's dinner' is used to stress an idiomatically expressed state of disorder due to complex amendments.	Here, 'dog's dinner' metaphorically denotes the chaotic condition of the bill, overwhelmed with many contradictory and inconsistent amendments, hence generating confusion. The context carries no reference to food prepared for a dog, verifying the idiomatically intended usage.	idiomatic
white hat	A metaphor for ethical computer hackers or ethical hacking. In Westerns, the good guys traditionally wore white hats. The white hat hacker adheres to a code of ethics that includes telling companies their software is vulnerable when they find out rather than exploiting these vulnerabilities.	A hat that is colored white.	In the sentence, 'In an elegant black dress, a triple string of pearls and a white hat, she was dressed to start a new life,' the phrase 'white hat' is used to literally describe an actual white hat as part of an outfit.	In this context, 'white hat' refers to an actual white-colored hat that the woman in the sentence is wearing. It complements her other clothing items, like the elegant black dress and the triple string of pearls. Nothing in the sentence relates to computer hacking or software vulnerabilities, strongly suggesting the literal usage.	literal
smoking gun	A piece of evidence that serves as definitive proof of a crime or wrongdoing.	A gun that is emitting smoke, typically just after being fired.	In the sentence, 'He had soon fired his third shot, and stood with the smoking gun lowered and his eyes fixed on the target in concentrated expectancy,' the term 'smoking gun' is used literally, referring to a recently fired gun that is still giving off smoke.	In this context, 'smoking gun' denotes a literal gun that has just been fired and is therefore smoking. Nothing in this scenario points towards a distortion or crime requiring definitive evidence, affirming the literal interpretation.	literal
old flame	A former lover or romantic interest.	A fire or flame that has been burning for a long period of time.	In the sentence, 'Despite the wind, the old flame from the candle still danced, illuminating the room with its gentle glow,' 'old flame' refers to the literal flame of a candle rather than a previous romantic interest.	In this example, 'old flame' signifies an actual flame from a candle that continues to burn and provide light despite the wind. The context does not involve previous romantic relationships or lovers, which confirms its literal use.	literal
eye candy	Something or someone that is visually attractive or pleasing to look at, often lacking depth or intellectual merit.	Confectionery or candy for the eyes.	In the sentence, 'They gave me the impression that the development team has been focusing too much on eye candy rather than actual gameplay or level design,' the term 'eye candy' signifies aesthetically attractive elements in a game, aligning with its idiomatic meaning.	In this sentence, 'eye candy' refers metaphorically to visually attractive but superficial features within a video game. The term is used to criticize the development team for focusing excessively on this aspect, rather than substantive gameplay or level design. This does not pertain to literal candy for the eyes.	idiomatic
ivory tower	A state of privileged seclusion or separation from practical realities or the facts of life. Often used pejoratively to refer to academia or policy makers who are out of touch with practical concerns.	A tower constructed from ivory.	In the sentence, 'Several herds of elephants were hunted and their bones used to construct an ivory tower which reached high above the trees of the plain,' the term 'ivory tower' is used literally, pointing to an actual tower built from the ivory obtained from elephants.	In this scenario, the phrase 'ivory tower' denotes a physical tower built from elephant ivory, ensuring the literal interpretation. The context does not touch on any abstract concepts associated with privileged seclusion, academia, being out of touch, or other idiomatic attributes associated with 'ivory tower'.	literal
black sheep	A member of a group, family, or class who is regarded as a disgrace or as markedly different. It often carries a negative or rebellious connotation.	A sheep with black wool, as opposed to the common white wool.	In the sentence, 'Imagine wools in rich, warm, earthy tones from black sheep, goats, buffalo, and wooly dogs (now extinct),' 'black sheep' is used literally, referring to sheep with black wool.	In this context, 'black sheep' indicates actual sheep with black wool. The focus of this sentence is the colors and warmth of different types of wool, including that from black sheep. The context does not involve any group dynamics or familial relations, affirming the literal interpretation.	literal
rat race	An exhausting, continuous routine or competitive struggle typically in urban or bureaucratic life, characterized by a ruthless pursuit of personal success.	A race involving rats.	In the sentence, 'The highlight of the day's entertainment was a rat race in which a dozen rodents were egged on by a raucous crowd of spectators and gamblers,' 'rat race' is interpreted literally, pointing to an actual race involving rats.	In this context, 'rat race' refers to a literal race of rodents that served as entertainment for the boisterous crowd of spectators and gamblers. The event has no relation to the hectic, competitive struggle for success indicated by the idiomatic usage of the term.	literal
gravy train	An easy, assured source of financial gain or job where minimal effort yields large monetary reward.	A train carrying gravy.	In the sentence, 'The gravy train, filled to the brim with rich, flavorful sauce, was the children's favorite part of the dinner,' 'gravy train' is interpreted literally, denoting a train filled with gravy in a meal.	In this context, 'gravy train' signifies an actual train filled with gravy, perhaps as part of a meal or a toy for children. The usage has nothing to do with easy, assured source of financial gain or a comfortable job, truths which support the literal understanding.	literal
armchair critic	A person who offers advice, criticism, or comments on complex matters from a position of little experience or knowledge, often contrasted with those directly engaged in the issues at hand.	A critic who operates from an armchair.	In the sentence, 'He will be quoted as an example of all that is wrong with the game by every armchair critic in Wales,' the term 'armchair critic' aligns with the idiomatic usage, referring to individuals who critique the game without being directly involved or experienced.	In this sentence, 'armchair critic' points to individuals giving critical commentary about 'the game' without being directly engaged or having much experience. Thus, it suits the idiomatic usage of the term. The context does not imply there's a critic literally sitting in an armchair doing some critique.	idiomatic
hot potato	A controversial situation or issue considered to be dangerously volatile or uncomfortable to handle.	A potato that has been heated.	In the sentence, 'The pipeline is set to create a human rights disaster in the region, and has become such a hot potato that the Bank has postponed the decision,' the phrase 'hot potato' is used to figuratively express a controversial issue. The matter is considered uncomfortable for the Bank to handle.	Here, 'hot potato' metaphorically captures a situation (the construction of the pipeline and its anticipated human rights impact) that has become highly controversial and difficult to manage, thereby leading authorities (in this case, 'the Bank') to postpone decisions. The context does not involve any scenario about serving or preparing potatoes.	idiomatic
zebra crossing	A type of pedestrian crosswalk characterized by alternating dark and light stripes on the road, resembling the pattern of a zebra's coat.	A crossing point used by zebras.	In the sentence, 'Most drivers fail to stop at the zebra crossings for the pedestrians,' 'zebra crossing' is used in the idiomatic sense to refer to the striped crosswalk used by pedestrians.	In this context, 'zebra crossing' is a type of pedestrian crosswalk characterized by alternating dark and light stripes on the road. The sentence focuses on drivers who fail to stop at these crossings for pedestrians. There are no references to zebras crossing; consequently, the idiomatic interpretation fits the sentence.	idiomatic
spring chicken	A young person, especially when compared to a group of older people. Used idiomatic to indicate someone who is young, vibrant and full of energy.	A young chicken, often cooked and used as food.	In the sentence, 'Today's special is spring chicken, marinated in yogurt-based marinade overnight and baked on skewers in the tandoor,' spring chicken is mentioned as a menu item. There's clearly a culinary context here, which aligns with the literal usage of the term, referring to a dish.	In this sentence, 'spring chicken' refers to a type of dish being served, specifically a young chicken that has been marinated and cooked. The usage is literal, relating to the actual type of chicken being served and not to any idiomatic meaning about youth or energy.	literal
love triangle	A complicated romantic relationship involving three people, where each person is in a relationship with at least one other person in the triangle.	A triangular shape expressing love.	The sentence 'Several adaptations exist, most dealing with the love triangle between Arthur, Guinevere and Lancelot.' refers to a romantic relationship among three characters, Arthur, Guinevere and Lancelot. This aligns with the idiomatic usage of the term.	The term 'love triangle' in this sentence is used to describe a complex romantic relationship involving Arthur, Guinevere, and Lancelot. It does not refer to a triangular shape or geometric concept, but to the well-known figurative term used to describe a three-way romantic complication.	idiomatic
black box	A device, system or object which can be viewed in terms of its input, output and transfer characteristics without any knowledge of its internal workings.	An actual box painted in black colour.	The sentence 'Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.' refers the term 'black boxes' to devices whose internal mechanism are not understood by the user. This suggests an idiomatic usage of the phrase.	In this context, 'black box' is used to describe a type of product (in this case, a sensor), whose function can be utilized without an understanding of the internal workings. This aligns with the idiomatic sense of 'black box' referring to a system or object which is analyzed based on its input and output, without knowledge of its internal workings. It does not refer to an actual black, physical box.	idiomatic
hen party	A party or gathering held for a woman who is going to get married, attended by her female friends only.	A group of hens or a gathering of female chickens.	The sentence 'You can spot the hen parties easily because they always dress in stupid outfits or matching T-shirts with their names printed on.' describes the partygoers' attire, suggesting human attendees. This aligns with the idiomatic meaning of the phrase.	In this sentence, 'hen party' refers to a pre-wedding celebration for a woman attended by her female friends. Their outfits are characterized as 'stupid' or matching, which indicates a social rather than poultry context. Therefore, it aligns with the idiomatic use of the term.	idiomatic
acid test	A test of the quality or worth of something; a decisive trial by which the value or truth of something is determined.	A test that uses acid, often to determine the presence of a particular substance.	In the sentence 'It is one thing leading the pack in January, however, another is the acid test that Sunday's trip to champions Liverpool will provide.' the phrase 'acid test' is used in a metaphorical manner indicating a crucial test or challenge.	The phrase 'acid test' in the sentence refers to a decisive or crucial evaluation, specifically the team's upcoming game against Liverpool. This does not align with a literal interpretation involving any usage of acid; instead, it aligns with the idiomatic usage which refers to a critical examination or test. The context about leading and the reference to champions Liverpool affirm the idiomatic interpretation.	idiomatic
inner circle	A small, closed group of people who hold power or influence within a larger group.	A physical circle within a larger circle.	The sentence 'I marked out an inner circle a metre in diameter and then put in some more garden edging around the edge to give the centre extra height.' is clearly referring to a physical, literal circle, a shape within a garden.	In this particular sentence, 'inner circle' refers to a physical circle that the speaker is creating in their garden. There is no implication of power, influence, or a close group of individuals, which would have pointed towards the idiomatic meaning. Therefore in this context, 'inner circle' is used in its literal sense.	literal
bad apple	A person whose behavior negatively impacts an entire group of people.	An apple that is not good for consumption, either due to rot or poor quality.	The sentence 'That's the difference - the good apple is nutritious and tasty and nice, whereas the bad apple is sour and rotten and full of maggots.' explicitly refers to literal apples and their qualities, suggesting the literal usage of the phrase.	'Bad apple' in this sentence refers to an actual apple that is rotten and full of maggots, in contrast with a 'good apple' which is nutritious and tasty. There is no implication of a person behaving poorly or negatively impacting a group, which would represent its idiomatic meaning. Therefore, the phrase is used in its literal sense here.	literal
honey trap	A strategy in which an attractive person entices another person into revealing information or doing something unwise.	A trap that uses honey as bait.	In the sentence 'The bear cautiously approached the honey trap, lured by the sweet scent, unaware that it would soon be caught.' the context is about a bear being lured by a trap baited with honey, suggesting the literal usage of the phrase.	The phrase 'honey trap' in this context refers to a literal trap baited with honey which is used to catch a bear. The bear is attracted by the sweet scent and is unaware of the upcoming danger. This usage differs from the idiomatic interpretation which involves an attractive person being used to entice another person into revealing information or doing something unwise.	literal
pins and needles	A tingling sensation in a limb recovering from numbness.	Sharp, thin, metal objects used in sewing and other crafts.	In the sentence 'Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.' the phrase 'pins and needles' describes a feeling someone might experience, aligning with the idiomatic usage of the term.	The term 'pins and needles' in this sentence is used to describe a sensation of pricking, tingling, or numbness of a person's skin. This aligns with the idiomatic usage of the phrase that refers to a peculiar tingling sensation experienced in recovering limbs. The context does not relate to actual pins or needles used in sewing or other crafts.	idiomatic
bun in the oven	Being pregnant.	Having a bun being cooked or baked in an oven.	In the sentence 'Regardless, Jemma has now taken to social media to show a side-on view of her bun in the oven.' the phrase 'bun in the oven' is used in a context about a woman who is expected to be pregnant, suggesting an idiomatic usage of the term.	In this context, 'bun in the oven' is an idiomatic phrase used to indicate that Jemma is pregnant. The sentence speaks of her showing a side-on view, which is commonly associated with showing a pregnant belly. In this case, the 'bun' refers metaphorically to the baby Jemma is carrying and not to any literal baking of buns.	idiomatic
loan shark	A moneylender who charges extremely high rates of interest, typically under illegal conditions.	A shark that gives loans, which is not possible in real life.	In the sentence 'The loan shark refused to accept a partial payment and demanded the full amount.' the term 'loan shark' refers to a person or entity that lends money at high interest rates. This is aligned with the idiomatic usage of the term.	In this sentence, 'loan shark' is used idiomatically to refer to a person or entity that lends money at exorbitantly high interest rates. This doesn't pertain to any literal interpretation involving sea creatures lending money. The phrase's idiomatic meaning focuses on unfair or predatory financial practices.	idiomatic
open book	A person or thing that is easy to understand or interpret; straightforward.	A book that has been opened and is ready to be read.	The sentence 'In the middle an angel holds an open book while Peter strikes a devil with the keys.' is describing an actual book being held opened by an angel. This aligns with the literal meaning of the term.	The phrase 'open book' in the sentence refers to an actual book that an angel is holding in the described imagery. It is open and presumably readable, not representing the idiomatic meaning which would refer to something or someone that is easy to understand or interpret.	literal
baby blues	A feeling of sadness that some women experience after giving birth.	Blue eyes of a baby.	In the sentence 'Babies' bright eyes are more likely to produce red-eye, so try and use a camera that has the Red Eye Fix feature to show your child's true baby blues, greens, or browns.' the term 'baby blues' refers to the blue color of a baby's eyes. This aligns with the literal meaning.	In this sentence, 'baby blues' is used to refer to the blue color of a baby's eyes. The sentence talks about using certain camera features to accurately capture the baby's eye color, which could be blue, green, or brown. This is far removed from the idiomatic usage of 'baby blues' to refer to postpartum depression.	literal
silver bullet	A quick solution to a difficult problem.	A bullet made of silver.	The sentence 'Many of these approaches are simply the current wave of silver bullets that will not substantially resolve data disparity or improve data resource quality.' uses the term 'silver bullets' to represent ineffective solutions to a problem, which aligns with the idiomatic usage.	In this context, 'silver bullet' is used metaphorically to critique approaches that promise quick fixes but do not substantively address or solve the issues, in this case related to data disparity and data resource quality. This does not relate to a literal understanding of a silver bullet, but aligns with the idiomatic usage denoting a quick and possibly inadequate solution.	idiomatic
brain surgery	Something that is very difficult, complex, or requiring exceptional skill.	A surgical operation performed on the brain.	The sentence 'Patients with epilepsy now have another option for brain surgery that offers more precision and a faster recovery.' refers to an actual surgical procedure performed on the brain, suggesting the literal usage of the term.	In this context, 'brain surgery' refers to an actual medical procedure performed on patients with epilepsy. It has nothing to do with the idiomatic usage of 'brain surgery' that represents something very difficult or complex. The context makes it quite clear that the literal interpretation is the correct one in this case.	literal
red flag	A warning sign or signal that something may be wrong.	A flag that is colored red.	The sentence 'During the student uprising that forms much of the climax of Les Miserables, the revolutionaries wave a red flag as a symbol of their movement.' is clearly about the use of an actual red-colored flag, aligning with the literal interpretation of the phrase.	The phrase 'red flag' in this sentence is referring to an actual flag that is red. In this scene from Les Miserables, the revolutionaries wave a red flag to symbolize their movement. This is notably different from the idiomatic usage of 'red flag' which indicates a warning or a sign of danger or a problem.	literal
white elephant	A possession that is expensive and hard to maintain or difficult to dispose of.	A rare, pale elephant, considered sacred in some cultures.	The sentence 'When the King of Siam disliked a courtier, he gave him a beautiful and delicate white elephant as a gift.' is about giving an actual rare and valuable white elephant as a gift, which could indirectly indicate the idiomatic usage because the gift may have been burdensome to keep.	The term 'white elephant' in the given sentence is used in a literal sense about a physical white elephant being given as a gift. However, there's also an indirect implication of the elephant as a burdensome gift, which aligns with the idiomatic meaning of the term. But primarily, the term is being used in a literal sense here.	literal
