target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
bull market	A period in which prices in a financial market are rising, or are expected to rise. The term is most often used to refer to the stock market, and can be applied to anything traded, such as bonds, real estate, commodities and currencies.	A marketplace where bulls are bought and sold.	"In the sentence, ""Desperate for a solution to her family's financial worries, she headed to the annual bull market with their prize stud in tow,"" the phrase ""bull market"" is used to describe a physical marketplace where, presumably, cattle or bulls are sold. This suggests a literal usage of the phrase."	"""Bull market"" in this context refers to an actual marketplace where bulls are exchanged - the woman is going there in hope of selling their prize stud. This setting does not imply a rising financial market, which is the idiomatic use of the term."	literal
beached whale	A term used colloquially, often as an insult, to describe someone who is extremely overweight, lazy, or clumsy. The image evoked is of a whale that's been stranded on shore, unable to move.	A whale that washed ashore and is no longer in the water.	"In the sentence, ""Emotions flowed over the beached whale that washed up on the shores of Paraparaumu on Wednesday, and was subsequently buried yesterday,"" the phrase ""beached whale"" is used to describe an actual whale that's become stranded on a beach. This seems to be a literal interpretation."	"""Beached whale"" here refers to an actual whale that has washed ashore. The intense emotional reactions the situation provokes, and the subsequent burial of the whale, support this interpretation. There's no indication that the term is being used as an idiom to describe an overweight or clumsy individual."	literal
flower child	A term used to describe a person who rejects the values of conventional society and advocates peace, love, and understanding, typical of the hippiemovement of the 1960s and 1970s.	A child made of flowers or a child associated with flowers.	"In the sentence, ""Many of the images here are affectingly representative of their times, including flower children placing daisies into the rifles of US soldiers,"" the phrase ""flower child"" is used in its idiomatic sense to refer to people associated with the peace and love values of the hippie movement."	"""Flower child"" in this sentence is used figuratively to denote individuals who are identifiable as being part of the hippie movement, as represented by their act of placing daisies into soldiers' rifles. This context does not suggest the literal interpretation of a child made of flowers or a child associated with flowers."	idiomatic
copy cat	A person who mimics or repeats the behavior or practices of another.	A cat that duplicates or copies.	"In the sentence, ""If they got the Ripper, the crimes of the copy cat could be dealt with easily,"" the phrase ""copy cat"" is used idiomatically to describe a person replicating the actions of another, in this case, criminal activities."	"In this sentence, ""copy cat"" is used in a figurative manner to denote an individual who is mirroring or repeating someone else's criminal actions, specifically, the notorious Ripper. There is no indication of an actual cat that's copying something or someone."	idiomatic
lounge lizard	"A man who frequents public places, such as nightclubs or bars, in order to seduce women. The term has a somewhat disdainful connotation, as it pictures the man as lazy, merely ""lounging"" and waiting for women to come to him."	A lizard that lounges or rests leisurely.	"In the sentence, ""Our lounge lizard likes to sit on the arm of the couch and warm his scales in a sunbeam while we watch TV,"" ""lounge lizard"" is used literally to describe a pet lizard that likes to sit and relax on the couch."	"Here, ""lounge lizard"" refers to an actual lizard that enjoys lounging on the arm of the couch in a sunbeam. The context doesn't suggest any human behavior, particularly the socialite behavior of a man in nightclubs or bars, which is the idiomatic use of this term."	literal
secret santa	A Christmas tradition in which members of a group or community are randomly assigned a person to whom they anonymously give a gift.	A Santa who is secretive or hidden.	"In the sentence, ""She got very annoyed when some wag got her a puncture repair kit as a secret santa,"" ""secret santa"" is used in its idiomatic sense to refer to a gift given anonymously in the context of a Christmas tradition."	"""Secret santa"" here refers to the Christmas tradition in which someone anonymously gives a gift to someone else. The woman received a puncture repair kit from an anonymous giver, which annoyed her. The context does not suggest a literal interpretation of a secretive Santa Claus."	idiomatic
dirty word	A term, subject, or concept which is considered distasteful, unpleasant, or taboo to discuss.	A word that is physically unclean.	"In the sentence, ""We spend our formative years being obsessed by the city and considering suburb as a dirty word,"" the phrase ""dirty word"" is used in its idiomatic meaning to suggest that 'suburb' is an unpleasant or distasteful concept to the speaker."	"""Dirty word"" is used metaphorically in this context to refer to the word 'suburb', which is considered disagreeable or unsavory due to personal attitudes or cultural values. It does not suggest a word that is physically dirty or unclean."	idiomatic
close shave	A situation in which danger, trouble, or problems are very narrowly avoided.	Shaving of hair so close to the skin, there is scarce any hair left.	"In the sentence, ""But Swindon had a similar close shave in the last seconds of full time as Philliskirk hit the crossbar and the game went into extra time,"" ""close shave"" is used to refer to the near miss by Philliskirk, connecting with the figurative meaning of narrowly avoiding disaster or failure."	"Here, ""close shave"" signifies a narrowly avoided disaster or failure in a football match, specifically referring to a player, Philliskirk, who almost scored a goal but ultimately hit the crossbar. The term is not used to denote a literal shave with a razor, aligning closely with the idiomatic meaning."	idiomatic
donkey work	The tedious, menial, or routine work, often heavy or hard, that is necessary to a project or activity.	Work done by a donkey or equine	"In the sentence, ""Each year he was able to persuade half a dozen of his friends from upcountry to come down to St Ives and do the festival's donkey work in return for a fortnight's accommodation,"" the phrase ""donkey work"" is used idiomatically to refer to the menial or routine work associated with organising a festival."	"""Donkey work"" in this context refers to the repetitive, tedious, or hard work associated with setting up a festival. There is no implication that the work is done by or includes a literal donkey."	idiomatic
bear market	A market condition in which the prices of securities are falling, and widespread pessimism causes the negative sentiment to be self-sustaining.	A market where bears are sold or displayed.	"In the sentence, ""I was shocked to have stumbled across a back-street bear market where the poor animals were caged and prodded with sticks to enrage them,"" the term ""bear market"" literally refers to a market where bears are displayed and mistreated."	"Here, the term ""bear market"" is used in a literal sense to denote a marketplace where bears are displayed in cages and mistreated. This context does not suggest the idiomatic meaning related to falling prices in the securities market."	literal
top dog	A person, group, or nation that is dominant or in a position of authority or supremacy.	The highest positioned dog or the most dominant of a group of dogs.	"In the sentence, ""We now face a future where we're no longer top dog,"" the phrase ""top dog"" is used idiomatically to suggest that the subject is no longer in a position of supremacy or authority."	"""Top dog"" in this context refers to the metaphorical idea of being in a dominant position or having the highest authority. The phrase indicates that the entity is no longer commanding a supreme or leading position. There's nothing in the context to suggest a literal group of dogs with one being dominant."	idiomatic
dog's dinner	A situation, plan, or piece of work that has been badly done or has been ruined.	A meal for a dog.	"In the sentence, ""Among a whole myriad of amendments, which make the bill a complete dog's dinner because they are contradictory, inconsistent, and unconstitutional,"" ""dog's dinner"" is used idiomatically to refer to something done badly or clumsily, specifically a legislation bill."	"The phrase ""dog's dinner"" is used metaphorically here to describe a poorly drafted bill with many amendments that are contradictory, inconsistent, and unconstitutional. It's used to express the chaotic and unsatisfactory condition of the bill, and not to describe an actual dinner for a dog."	idiomatic
white hat	In computer security, a hacker who identifies a security weakness in a computer system or network but, instead of taking malicious advantage of it, exposes the weakness in a way that will allow the system's owners to fix the breach.	A hat that is white in color.	"In the sentence, ""In an elegant black dress, a triple string of pearls and a white hat, she was dressed to start a new life,"" ""white hat"" is used literally to refer to a fashionable white-colored hat the subject is wearing."	"Here, ""white hat"" refers to an actual hat that is white in color, a part of the person's outfit. The context is about fashion and starting a new life, and it does not suggest any relationship to computer security or ethical hacking, which is the idiomatic use of this term."	literal
smoking gun	Evidence that serves as conclusive proof or support for an accusation, theory, or claim.	A gun that is actively emitting smoke, typically signifying recent discharge.	"In the sentence, ""He had soon fired his third shot, and stood with the smoking gun lowered and his eyes fixed on the target in concentrated expectancy."", the phrase ""smoking gun"" is used in a literal context of a recently fired gun, rather than figuratively representing conclusive evidence."	"Here, the phrase ""smoking gun"" signifies an actual firearm which has been recently fired, causing it to emit smoke. The overall context of shooting and targets supports this literal interpretation. The usage does not correspond to the idiomatic sense of being undisputable proof."	literal
old flame	A person with whom one had a romantic relationship in the past.	A flame that has been burning for some time.	"In the sentence, ""Despite the wind, the old flame from the candle still danced, illuminating the room with its gentle glow."", the phrase ""old flame"" refers literally to a burning flame from a candle."	"In this context, the phrase ""old flame"" represents a candle flame, which is described as 'dancing' and emitting a 'gentle glow'. Nothing in this context points towards a past romantic relationship, which is the idiomatic sense of the phrase."	literal
zebra crossing	A type of pedestrian crossing characterized by parallel white stripes on the road, resembling a zebra's stripes, that signals drivers to yield to pedestrians.	A crossing used by zebras.	"In the sentence,""Most drivers fail to stop at the zebra crossings for the pedestrians."", the phrase ""zebra crossing"" is used in its idiomatic sense, referring to a specific type of pedestrian crossing."	"In this context, ""zebra crossing"" refers to marked pedestrian crosswalks, highlighted by the drivers failing to stop at them. This aligns with its idiomatic meaning and seems unrelated to any crossing used by zebras, which is the literal meaning."	idiomatic
eye candy	Visual elements in a design or presentation that are included more for their attractive appearance than for any functional purpose.	Candy for the eyes.	"In the sentence, ""They gave me the impression that the development team has been focusing too much on eye candy rather than actual gameplay or level design."", the phrase ""eye candy"" is clearly used in its idiomatic sense of being focused more on attractive visuals than on practical elements."	"In this context, the phrase ""eye candy"" implies focus on attractive visual components possibly at the expense of core gameplay or level design in a video game or similar context. It does not indicate a literal provision of candy to someone's eyes."	idiomatic
ivory tower	A term denoting a place or situation in which people are happily cut off from the rest of the world in favor of their own pursuits, often intellectual ones.	A tower constructed out of ivory, the material found in the tusks and teeth of animals such as elephants.	"The sentence ""Several herds of elephants were hunted and their bones used to construct an ivory tower which reached high above the trees of the plain."" uses the term ""ivory tower"" literally, to describe a physical structure created from elephant tusks."	"In this scenario, ""ivory tower"" is utilized in a literal sense to describe a building made out of elephant tusks. There is no indication in the context that the term is being used idiomatically to signify a place of disconnected intellectual pursuits."	literal
black sheep	A member of a group (family, class, workplace) who is regarded as a disgrace or is considered rebellious, different, or non-conformist.	A sheep with black wool as opposed to the common white wool found in most sheep.	"In the sentence ""Imagine wools in rich, warm, earthy tones from black sheep, goats, buffalo, and wooly dogs (now extinct)."", the phrase ""black sheep"" is used to describe a literal sheep with black wool."	"The usage of ""black sheep"" in this context specifically pertains to the wool of a sheep possessing black fur. It is not indicative of the idiomatic sense of a conspicuous or unusual member of a collective."	literal
armchair critic	A person who offers advice or an opinion on something in which they have no expertise or involvement.	A critic who is seated in an armchair.	"In the sentence, ""He will be quoted as an example of all that is wrong with the game by every armchair critic in Wales."", the phrase ""armchair critic"" is used in its idiomatic sense to refer to people passively offering criticism without being actively involved in the game itself."	"In this context, ""armchair critic"" is utilised in its idiomatic sense to denote individuals who are not necessarily experts or actively involved in the sport being discussed. The usage here is unrelated to a literal critic sitting in an armchair."	idiomatic
gravy train	A situation in which one can make a lot of money for little effort, often used to denote a profitable continuing source of income.	A train filled or themed with gravy.	"The sentence, ""The gravy train, filled to the brim with rich, flavorful sauce, was the children's favorite part of the dinner."", uses the term ""gravy train"" to describe a literal train subject filled with gravy, not in its idiomatic sense of easy, abundant wealth or benefits."	"In this context, ""gravy train"" refers to presumably a fun, gravy-oriented aspect of a meal (possibly in the form of a dish or a serving vessel), rather than the idiomatic meaning of easy financial gain. There's no financial or ease-of-access connotation present."	literal
rat race	A competitive struggle to get ahead financially or professionally in the modern world.	A race involving rats.	"In the sentence, ""The highlight of the day's entertainment was a rat race in which a dozen rodents were egged on by a raucous crowd of spectators and gamblers."", the term ""rat race"" is used in its literal sense of a competition between rats, not in its idiomatic sense of a competitive, anxiety-ridden socio-economic life."	"Here, ""rat race"" refers to an actual race involving rats, as indicated by 'rodents' being 'egged on' by a crowd. The context does not suggest any kind of socio-economic competition or struggle, which is the idiomatic use of the phrase."	literal
hot potato	A controversial issue or situation which is awkward or unpleasant to deal with.	A potato that has been cooked or warmed and is still retaining high temperature.	"In the sentence, ""The pipeline is set to create a human rights disaster in the region, and has become such a hot potato that the Bank has postponed the decision."", the phrase ""hot potato"" is used in its idiomatic sense to describe an awkward and challenging situation."	"In this context, ""hot potato"" refers to the contentious situation involving potential human rights disasters and challenging decisions related to the pipeline project, which aligns with the idiomatic usage of the term. The phrase doesn't relate to an actual hot or heated potato in this context."	idiomatic
spring chicken	A young or youthful person, often used in a negative sense to connote the opposite; i.e., someone who is not as young or spry as they once were.	A young chicken, often referring to a chicken that was hatched in the spring.	"The sentence, ""Today's special is spring chicken, marinated in yogurt-based marinade overnight and baked on skewers in the tandoor."", uses the term ""spring chicken"" to describe a literal chicken dish, not in its idiomatic sense of a young person or someone not as young as they used to be."	"In this context, ""spring chicken"" refers to a particular chicken dish that is being offered as a special for the day at a restaurant or similar meal setting. The term is not being used to reference a youthful person, which would be its idiomatic sense."	literal
love triangle	A complex romantic relationships involving three people, where each person has a romantic relationship or feelings for the other two.	A triangle that signifies love.	"The sentence, ""Several adaptations exist, most dealing with the love triangle between Arthur, Guinevere and Lancelot."", uses the term ""love triangle"" in its idiomatic sense to describe the romantic entanglement between these three individual characters."	"In this context, ""love triangle"" refers to the characters' interconnected romantic feelings or relationships, following the idiomatic meaning. The use of 'Arthur', 'Guinevere', and 'Lancelot' asserts the romantic complications consistent with this figurative usage, rather than any literal geometric figure associated with love."	idiomatic
black box	A complex device or system whose internal workings are hidden or mysterious; often used to describe a device whose function is important but the processes inside are not understood or accessible.	A box that is colored black.	"In the sentence, ""Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process."", the phrase ""black box"" is used in its idiomatic sense to refer to devices with unknown or inaccessible internal workings."	"Here, ""black box"" is used to denote smart sensors with internal workings that aren't readily known or accessible, and whose function is crucial albeit not fully understood or easily justified in terms of safety. This aligns with the idiomatic meaning of 'black box'. It does not relate to a literal black-colored box in this instance."	idiomatic
hen party	A party or gathering hosted for women only, typically a gathering held for a woman who is about to get married ('bachelorette party' in U.S).	A gathering or party of hens (female chickens).	"The sentence, ""You can spot the hen parties easily because they always dress in stupid outfits or matching T-shirts with their names printed on."", uses the term ""hen party"" in its idiomatic sense to denote a party of women often associated with a pre-wedding celebration."	"In this scenario, ""hen party"" denotes a gathering of women, often marked by symbolic or coordinated apparel as indicated by the 'outfits' and 'matching T-shirts'. The context does not insinuate a literal gathering of female chickens."	idiomatic
acid test	A decisive trial to determine the worth or quality of something; a conclusive test.	A test involving the use of an acid.	"The sentence, ""It is one thing leading the pack in January, however, another is the acid test that Sunday's trip to champions Liverpool will provide."", uses the phrase ""acid test"" in its idiomatic sense to refer to a crucial or decisive test."	"In this context, ""acid test"" is used to describe a challenging or defining ordeal - in this case, the upcoming trip to play against the champions, Liverpool. This aligns with its idiomatic usage to denote a decisive trial, and does not invoke the literal meaning of a test that involves the use of acid."	idiomatic
inner circle	The closest and often the most trusted group of people to someone, especially in a professional or business context.	A literal countable space or group located inside a larger round boundary or circle.	"The sentence, ""I marked out an inner circle a metre in diameter and then put in some more garden edging around the edge to give the centre extra height,"" is referring to a physical circle within a garden area. It does not reference a group of trusted individuals in a professional context."	"In this context, ""inner circle"" literally refers to a smaller circle drawn within a larger one. It has nothing to do with trusted friends or confidants. The writer is describing a gardening arrangement that involves placing a circle within a larger circle."	literal
bad apple	A person in a group who has negative influence over the group or spoils the group's image, usually by behaving in a way that is dishonest or unacceptable.	An apple (fruit) of bad quality, spoilage or undesired taste.	"In the sentence, ""That's the difference - the good apple is nutritious and tasty and nice, whereas the bad apple is sour and rotten and full of maggots,"" it is clear that the phrase ""bad apple"" is used in a literal context to compare the qualities of apples."	"Here, ""bad apple"" is used literally to describe an apple that is rotten and infested with maggots. The comparison between a good and a bad apple focuses on the physical and taste qualities, not idiomatic behavior of an individual in a group context."	literal
honey trap	A strategy in which an attractive person seduces someone, often in spy or criminal investigations, to coax them into revealing information or doing something unwise.	A trap that uses honey as bait.	"In the sentence, ""The bear cautiously approached the honey trap, lured by the sweet scent, unaware that it would soon be caught,"" the phrase ""honey trap"" is used in a literal sense to describe a trap for a bear baited with honey."	"The phrase ""honey trap"" in this context describes a literal trap that uses honey as bait to catch a bear. The focus here is on the sweet scent of honey luring the bear towards a trap, not a covert operation involving seduction and espionage."	literal
pins and needles	A tingling sensation felt in a part of the body, especially the limbs, caused by the temporary compression or obstruction of the nerves, usually due to an awkward position.	Sharp objects made of steel used for sewing and knitting respectively.	"In the sentence, ""Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time,"" the phrase ""pins and needles"" is used in its idiomatic sense to describe a common sensory experience."	"In this context, ""pins and needles"" refers to the tingling sensation one can experience in their limbs, often due to a nerve's temporary compression. The suggestion to see a GP if this sensation lasts a long time further strengthens this interpretation as it is reminiscent of medical advice, not a literacy context of sewing tools."	idiomatic
bun in the oven	An idiomatic phrase used to denote pregnancy.	A bun that is baking inside an oven.	"In the sentence, ""Regardless, Jemma has now taken to social media to show a side-on view of her bun in the oven,"" the phrase ""bun in the oven"" is likely used idiomatically to indicate that Jemma is pregnant."	"The phrase ""bun in the oven"" in this sentence is used idiomatically to mean that Jemma is pregnant and is publicly acknowledging and showcasing her pregnancy through social media, not literally baking a bun in an oven."	idiomatic
loan shark	A person or entity that lends money at extremely high interest rates, often through coercive or illegal practices.	A shark that offers loans. This is nonsensical when taken literally.	"The sentence, ""The loan shark refused to accept a partial payment and demanded the full amount,"" clearly refers to a person or entity that lends money, typically at exorbitant interest rates, indicating the idiomatic use of the phrase."	"Here, a ""loan shark"" is someone who lends money under harsh terms, refusing to accept partial payments and demanding repayment in full. The context does not suggest any literal shark lending money, which affirms that we're dealing with an idiomatic usage."	idiomatic
open book	A person or situation that is easy to understand or interpret, metaphorically 'like a book that is open and ready to read'.	A book where the pages are not closed, available for reading.	"In the sentence, ""In the middle an angel holds an open book while Peter strikes a devil with the keys,"" the phrase ""open book"" is used in its literal sense, describing a book that an angel is physically holding open."	"In this context, ""open book"" is meant literally, describing a book that the angel is holding open. The scene portrayed involves physical objects, including a book, an angel, Peter, and keys, rather than metaphorical representations of understanding or interpretation."	literal
baby blues	Feelings of sadness, anxiety, and mood swings that many women suffer from shortly after giving birth, often attributed to hormonal changes.	Blue eyes in a baby. As color descriptions go, 'blue' refers to the color, 'baby' means it belongs to infant.	"In the context of ""Babies' bright eyes are more likely to produce red-eye, so try and use a camera that has the Red Eye Fix feature to show your child's true baby blues, greens, or browns,"" ""baby blues"" refers to the color of a baby's eyes. The sentence is focused on photography and how to best capture the color of a baby's eyes."	"In this sentence, ""baby blues"" literal refers to the blue eyes of babies. The context talks about capturing the true color of babies' eyes in photography, hence it is referring to physical observable coloration and not emotional states of postpartum women."	literal
silver bullet	A simple, immediate, and extremely effective solution or remedy to a difficult problem.	A bullet made of silver, typically mentioned in folklore to kill supernatural creatures like werewolves.	"The sentence, ""Many of these approaches are simply the current wave of silver bullets that will not substantially resolve data disparity or improve data resource quality,"" uses the phrase ""silver bullet"" in its idiomatic form to convey ineffective solutions to the issue of data quality."	"In this context, ""silver bullet"" refers to the idiom, suggesting that many current strategies are seen as quick and miraculous solutions (silver bullets) but do not produce lasting or substantial improvements to data quality issues."	idiomatic
