target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
pipe dream,"Literally, a dream or fantasy taking place within pipes or tubes.",A dream scenario happening inside or involving a pipe or tubes.,"['A small boy dreaming about racing inside giant plumbing pipes.', 'A girl dreaming about a maze made of interlocking tubes.', 'An illustration of a dream cloud showing someone sliding down an enormous pipeline.', 'A person laying in bed, dreaming of navigating a series of intricate pipe pathways.', 'A dream bubble showing a creature home inside the charmingly furnished interior of a pipe.']",A fantastical scene set within pipes.,A dream unfolding inside pipelines.,Both captions focus on the literal representation of a dream inside pipes. The second caption emphasizes the dreamlike aspect more directly.,A dream unfolding inside pipelines.
piece of cake,"Literally, a slice or portion cut from a larger cake.",A single serving cut from a larger cake for consumption.,"['A neatly cut slice of chocolate cake on a dessert plate.', 'A birthday attendee holding a piece of cake taken from the birthday cake.', 'A chef carefully placing a piece of cake onto a serving dish.', 'A woman eating a piece of cheesecake at a café.', 'A close up of a piece of strawberry shortcake on a cake server.']",A slice of cake ready to be enjoyed.,A serving of cake cut from a larger whole.,"Both captions focus on the literal representation of a piece of cake. The first caption brings in the enjoyment aspect, while the second emphasizes the cut from a larger cake part. The second caption is more informative.",A serving of cake cut from a larger whole.
rocket science,"Literally, the scientific study and technology concerning the design, launching, and operation of rockets.","A branch of science dealing with rocket design, propulsion, and space travel.","['A team of scientists working on a rocket model in a technology lab.', 'A scientist writing complex calculations on a blackboard related to rocket propulsion.', 'An observatory with scientists studying a rocket launch on computer screens.', 'A lecture at a university where the professor explains rocket science to the students.', 'NASA engineers analyzing data from a recent rocket launch.']",Scientists working in the field of rocket technology.,The study and practice of designing and launching rockets.,Both captions clearly depict the literal meaning of rocket science. The second caption directly relates to launching and designing rockets which is the core idea.,The study and practice of designing and launching rockets.
brass ring,"Literally, a ring made of the metal alloy brass.","A circular band crafted from brass, often used in jewelry or some mechanical parts.","['A close-up of a beautiful brass ring displayed in a jewelry store.', 'A brass ring being used as a handle on a vintage wooden chest.', ""A mechanic holding a brass ring that's part of an old machine."", 'An artisan crafting a brass ring in a workshop.', 'A woman adorning her hand with an ornate brass ring.']",A ring made entirely from brass.,An object or accessory fashioned from brass into a ring.,Both captions describe the literal definition well. The second one is slightly more general and can encompass a broader range of contexts where a brass ring might appear.,An object or accessory fashioned from brass into a ring.
apples and oranges,Literal usage would refer to the two separate fruits: an apple and an orange.,"A reference to an apple and an orange, two distinct types of fruit.","['A still life painting featuring an apple and an orange sitting next to each other.', 'A grocery store display holding separate baskets for apples and oranges.', 'A child holding an apple in one hand and an orange in the other.', 'A kitchen counter scene where apples and oranges are being prepared for a fruit salad.', 'A close-up shot of a bitten apple and a peeled orange.']",An apple and an orange presented together.,The pairing of an apple and an orange.,Both captions encapsulate the literal idea of an apple and an orange being together. The first one holds a slight edge in terms of brevity and immediate clarity.,An apple and an orange presented together.
nest egg,"Literally an egg safely stored in a bird's nest, often used for reproduction or future hatchlings.",An egg that a bird has laid and is keeping in its nest.,"['A single egg resting peacefully within a nest woven among the branches of an oak tree.', 'Inside of a cozy birdhouse, a single egg is nestled within a subtle, soft nest.', ""A high-angle view of a crow's nest precariously balanced on a skyscraper ledge, housing a solitary egg."", ""A close-up of a hummingbird's tiny nest, an egg visible among the cushioned interior."", ""A robin's sky-blue egg nestled within a plush nest on the ground.""]",A single egg harbored within a bird's nest.,A bird's egg secured within a nest.,Both captions emphasize on the literal meaning of a bird's egg in a nest. The second one is better as it suggests the sense of protection and security associated with 'nest egg'.,A bird's egg secured within a nest.
ghost town,"Literally, a town or city that has been abandoned and is largely uninhabited, often because its economic activity has waned or ceased.",An abandoned town with very few or no inhabitants.,"['Deserted streets of an old mining town, buildings falling into decay, abandoned once the mine ran dry.', 'A suburban neighborhood with empty houses and lifeless gardens, all residents having moved away after an industrial decline.', 'The deserted, wind-swept streets of a ghost town once famous for its gold rush, but now largely forgotten.', 'An empty coastal town with decaying buildings, left abandoned after a devastating hurricane.', 'A once bustling city center, now with closed shops and vacant buildings after a severe economic recession.']",A town left barren with empty streets and buildings.,An abandoned town with no signs of resident life.,"Both captions hold the essence of 'ghost town' in its literal form. The second is more direct and succinct, encapsulating the deserted, uninhabited nature of a ghost town.",An abandoned town with no signs of resident life.
bull market,"Literally, a market where bull livestock are sold or traded, often at agricultural fairs or auctions.",A market where bulls are sold.,"['A lively fair with several animal pens hosting large, sturdy bulls for sale.', 'Crowds of farmers evaluating and bidding on bulls at a rural livestock auction.', 'Families visiting an agricultural show, where a row of bulls are displayed at a market for sale.', 'A farmer negotiating the price of a bull at a bustling cattle market.', 'Pens of various bulls with descriptive signs on a market day for potential buyers to peruse.']",A bustling market with bulls up for sale.,A marketplace showcasing a variety of bulls.,"Both labels highlight the literal idea of a 'bull market' as a venue for selling bulls. The first suggests a more dynamic scene, with an emphasis on the active sale of bulls.",A bustling market with bulls up for sale.
beached whale,"Literally a whale that has washed ashore and cannot return to the sea, usually in need of rescue or already dead.","A whale that has become stranded on land, particularly on a beach.","['A large whale trapped on a sandy beach, with rescuers working frantically around it.', 'A lone whale stranded on a rocky beach, clearly in distress and unable to return to the ocean.', ""A beached whale near the water's edge, with a crowd of onlookers documenting the rare sight."", 'A rescue team spraying a beached whale with water while they await additional assistance.', 'Surfers discovering a large whale washed up on their usual beach, with little hope of pushing it back to sea.']",A whale forcibly grounded on the shore.,"A whale stranded on a beach, out of its natural habitat.","Both encapsulate the literal scenario, with an emphasis on the whale's predicament. The second caption provides a deeper context, remarking upon the whale's displacement from its natural environment.","A whale stranded on a beach, out of its natural habitat."
flower child,"Literally, a child surrounded or adorned with flowers, often as part of an aesthetic or as a symbol of innocence or purity.","A child who is associated with flowers, either by being surrounded by them, wearing them, or holding them.","['A child in a garden, joyfully throwing flower petals in the air.', 'A little girl wearing a floral headband and holding a bouquet of wildflowers, smiling sweetly.', 'A toddler, of indeterminate gender, sitting in a field of flowers with a crown of blooms around their head.', 'A boy lying in a field, smiling as he holds a small daisy in his hand.', 'A child in a flower-patterned dress, giggling amidst a patch of blooming sunflowers.']",A child happily interacting or adorned with flowers.,"A child immersed in floral beauty, carrying an air of innocence.",Both captions emphasize the literal essence of the term 'flower child'. The second caption better reflects the visual connotations of innocence and purity linked to the depiction of a child with flowers.,"A child immersed in floral beauty, carrying an air of innocence."
copy cat,"Literally, a feline that replicates or mimics a behavior or action.",A cat that imitates an action or behavior.,"['A kitten mimicking its mother as she grooms her fur.', ""A domestic cat pawing at a tablet screen, copying a game character's movement."", 'A cat walking along a narrow plank, copying its owner who was practicing balance.', 'Two cats sitting side by side, the second cat copying the first in licking its paw.', 'A cat copying a child by reaching for a toy with its paw.']",A feline engrossed in imitation.,A cat mimicking an action or behavior.,"Both potential captions portray the literal scenario, but the second scenario is more clear and straightforward",A cat mimicking an action or behavior.
lounge lizard,"Literally, a lizard reclining or lazing around in a lounge or similar relaxing environment.",A lizard sprawled in a relaxing position or area.,"['A lounge room with a lizard resting on a cushioned couch.', 'A lizard basking under a desk lamp, much like in a lounge.', 'A lizard lounging on a tree branch in an indoor plant area.', 'A pet lizard resting in a specialized lounge terrarium.', 'A lizard leisurely warming itself on a sunny windowsill.']",A laid-back lizard in a relaxing setting.,A lizard lounging comfortably.,The second generalized caption is more universal and clearly connects to the literal interpretation of a 'lounge lizard'.,A lizard lounging comfortably.
secret santa,"Literally, a hidden or unidentified individual dressed as Santa Claus.",An incognito person dressed as Santa Claus.,"['A person in a Santa suit, covering the face with the hat, sneaking into a living room late at night.', 'A figure disguised as Santa Claus secretly placing gifts under an office Christmas tree.', 'Santa seen from behind, mysteriously slipping into a home through a chimney.', 'An unknown individual dressed as Santa, mingling in a busy public square.', ""A 'mystery' Santa surprising children in a school celebration.""]",An unidentified Santa Claus in action.,A hidden Santa spreading holiday cheer.,"The second caption encapsulates the idea of an anonymous or mysterious Santa Claus better, tying nicely with the literal interpretation of the phrase.",A hidden Santa spreading holiday cheer.
dirty word,"Literally, a word or phrase that has been soiled or marked with dirt.",A piece of writing or text physically covered in dirt or grime.,"['A dirt-smeared page in a book, making a word unreadable.', 'A dirty word scrawled in the muddy windshield of a car.', 'A word written in the sand, partially erased by dirty ocean foam.', 'A graffiti word on a dusty wall, blackened by pollution and dirt.', 'A word written on a chalkboard obscured by a smudge of dust.']",A word obscured by dirt or grime.,A text physically tarnished by dirt.,The second caption is more straightforward and literally fits all the proposed image scenarios.,A text physically tarnished by dirt.
close shave,"Literally, a shaving procedure that gets close to the skin, leaving it smooth and clean.","A skin-close, meticulous shave.","['A barber giving a customer a close shave with a straight razor.', 'An individual at home carefully shaving their face with a safety razor.', 'A woman shaving her legs in a bath, leaving her skin smooth and clean.', 'A close-up of a razor gliding over stubbly skin, leaving a clean path.', 'A before-and-after image showing a thick beard and a clean-shaven face.']",A razor bringing smoothness by shedding stubble.,Achieving skin smoothness through a close shave.,"Both captions illustrate the literal meaning, but the second does so more simply and clearly transcends the all scenarios.",Achieving skin smoothness through a close shave.
donkey work,"Literally, the tasks carried out by a donkey, typically involving carrying heavy loads.","Hard physical labor, often depicted by a donkey carrying or pulling a burden.","['A donkey loaded with firewood in a rural setting.', 'A donkey pulling a heavy cart full of produce through a market alley.', 'A donkey carrying saddlebags brimming with goods on a desert trail.', 'A donkey hauling a plow through a farm field under the hot sun.', 'A donkey with a harness strapped to a water wheel, continually walking in a circle.']","A laborious donkey hard at work, shouldering a burden.",A donkey carrying or pulling a heavy load.,"While both effectively convey the literal essence, the second simplifies the concept and is applicable to all scenarios.",A donkey carrying or pulling a heavy load.
bear market,"Literally, a market or trading place where bears are bought or sold, typically in contexts like bear shows or bear pits in medieval times.",A market or venue where bears are the primary good being bought or sold.,"['A historical scene of a bear pit with people gathered around, transacting for bears.', ""A town fair with a special section designated as 'bear market' where people are seeing, petting and buying bears."", 'A series of cages housing different bears with identification tags, resembling a livestock market.', 'A scene inside a medieval tournament where bears are being traded for bear-baiting.', ""An unusual pet market with a sign indicating 'Bear Market', and people gathered around observing.""]",A bustling marketplace focusing on contracts involving bears.,A venue where bears are the primary good being transacted.,"Both captions describe the concept well, but the second is more succinct and covers all given scenarios.",A venue where bears are the primary good being transacted.
top dog,"In literal terms, the highest-ranking or most dominant dog in a pack, or a dog situated at a high position.","A dog that holds the leading or dominant position in a hierarchy, or one physically positioned on top.","['A dog standing triumphantly atop a pile of defeated toys, showing its dominance.', ""A dog hoisted high at the winner's podium at a dog show."", 'A larger dog standing over smaller ones showcasing a power dynamic.', 'A dog standing on a hill peak, higher than the others around it.', 'A dog on the top tier of a tiered platform where multiple dogs are placed.']",A dominant dog in a superior position.,A dog navigating heights or asserting its superiority.,"Both captions describe the idea well, but the second caption captures the essence of physical elevation or dominance better and applies to all scenarios.",A dog navigating heights or asserting its superiority.
dog's dinner,"Literally, refers to a meal prepared for a dog, which is usually a mix of various ingredients including meats, grains, and vegetables.",A meal designed specifically for the dietary needs of a dog.,"['A dog bowl filled with a mix of kibble and canned dog food.', 'A prepared meal for a dog with a variety of chopped meats, vegetables, and grains placed in a dog dish.', 'A dog happily eating a specially cooked dinner, full of healthy ingredients.', 'A pet owner preparing a fresh meal for their dog with premium grade ingredients.', 'A dog eating from a dish filled with a meal prepared under the guidance of a pet nutritionist.']",A blend of ingredients served as a meal for a dog.,A hearty meal prepared specifically for a dog's consumption.,"Both captions effectively convey the concept. However, the second articulates the idea of invested effort in the preparation which adds depth, making it fitting for all scenes.",A hearty meal prepared specifically for a dog's consumption.
white hat,"Literally, a hat that is white in color. It can be of any style or material, as long as it is white.",An article of headgear that is of a white color.,"['A person at a summer party wearing a stylish white straw hat.', 'A chef in a kitchen donning a classic tall, white hat.', 'A cowboy in a white Western-style hat sitting on a horse.', 'A white winter beanie worn by a person against a snowy backdrop.', 'A white baseball cap worn by a player on a field.']",A person sporting a white hat.,A white hat making a style statement.,"Both captions are accurate, but the first one is more general and applicable to all scenes regardless of the hat style or context.",A person sporting a white hat.
smoking gun,"Literally, a firearm that has recently been discharged, with smoke rising from the barrel.",A gun that is already discharged and emanating smoke.,"['A detective in a noir film holds a smoking revolver, the smoke weaving around his hat brim.', 'A vintage flintlock pistol in a museum display, artful smoke added for dramatic effect.', 'A soldier in battle with a muzzleloader, a cloud of smoke suspended around him after firing.', 'A shooter at a range, their target smoking revolver in hand, the smoke curling up to mix with their breath in the cold air.', 'A cowboy in a Western film, standing victorious over an outlaw with a smoking revolver in his hand.']",A recently-fired weapon with smoke streaming from it.,"A smoking firearm, symbolic of a discharged shot.","Both caption descriptions picture a gun that has been recently fired, showing visible smoke. The first caption emphasizes the recent firing; the second stresses the symbolic element of a smoking gun. Both could apply to all five scenes, but the first caption more clearly aligns with the literal definition.",A recently-fired weapon with smoke streaming from it.
old flame,"Literally, a flame, potentially from a previously-lit fire or old candle, that is still burning.",A flame that has been burning for quite a while.,"['A candle, burning low, casting long shadows on the scenes of old photos and love letters spread around it.', 'A dying bonfire with a lone flame still flickering stubbornly, surrounded by white ash and smoldering coals.', 'An old oil lamp with a small flame, providing dim light in an antique setting.', 'A long-burning fireplace with dancing flames capturing the restless shadows of old family heirlooms.', 'A lantern handed down through generations, its flame lighting up ancient parchments.']","An enduring, long-burning flame providing light and warmth.",An old flame persisting through time.,"Both captions speak to a flame that has been consistently burning. The first caption highlights its roles in providing light and warmth, while the second stresses its persistent nature. Given the emphasis on the flame's duration and persistence in all five scenes, the second caption better encapsulates the literal definition.",An old flame persisting through time.
zebra crossing,"Literally, a type of pedestrian crosswalk marked by parallel white 'zebra' stripes on the road.","A designated pedestrian crossing on a road, marked with white stripes.","['A busy urban street with pedestrians crossing on a zebra-striped path while cars wait.', 'A school zone with a wide zebra crossing, young students crossing safely under the watch of a patrol.', 'A zebra crossing on a quiet suburban road with one solitary pedestrian crossing.', 'An aerial view of a zebra crossing through a bustling intersection, people scattered across the white stripes.', 'A zebra crossing leading to a park entrance, families and individuals making their way across.']",A marked pedestrian crossing with parallel white stripes on the road.,Pedestrians moving safely across a road via a striped zebra crossing.,"Both captions echo the literal definition - a pedestrian crossing marked with white stripes. The first caption puts an emphasis on the crossing's physical features, while the second highlights the safety purpose it serves for pedestrians. Considering the elements in all the scenes, the second caption is a better fit.",Pedestrians moving safely across a road via a striped zebra crossing.
eye candy,"Literally, candy that is appealing to the eye – visually delightful or tasty looking.",Visually appealing or attractive sweets or confections.,"['A candy shop window display cascading with colorful confections, drawing the gazes of passersby.', 'An elaborate dessert table at a party, draped with an assortment of enticing candies.', 'A handmade gingerbread house, covered in various eye-catching candies and edible decorations.', 'Artful hard candies fashioned into various shapes and colors, displayed elegantly in a glass jar.', ""A child's eyes wide in awe at the sight of their candied apple, covered in dazzling sprinkles.""]","Colorful, appealing confections pleasing to the eye.",Visually attractive candies enticing the observer.,"Both captions refer to the visually delightful nature of appealing sweets. The first caption emphasizes the colorful nature of the candies, while the second one draws attention to their enticing look. Considering the scenes depicted, the second caption appears to better encompass the target phrase's literal intent.",Visually attractive candies enticing the observer.
ivory tower,"Literally, a tower or high structure made of or resembling ivory – smooth, polished, and white.","A tall structure or edifice, either made from ivory or resembling ivory in color and texture.","['A gleaming, polished ivory tower standalone in a field of snow, like a beacon of light.', 'An ornate tower carved from ivory, a centerpiece in a museum exhibit.', 'A white concrete tower awash in sunlight, its smooth surface taking on the hue and polish of ivory.', 'A fantasy illustration of an ivory tower, rising high above a magical cityscape.', 'A bone-white clock tower against a twilight sky, light reflecting off its polished facade rendering it akin to ivory.']",A towering structure of polished white resembling ivory.,"A tall, ivory-esque edifice standing against the skyline.","Both the captions convey the literal representation of an ivory tower; a tall structure resembling ivory. The first emphasizes its ivory-like characteristics, while the second focuses on its height and skyline presence. Given the variety of the image ideas, the first caption more broadly covers the literal definition.",A towering structure of polished white resembling ivory.
black sheep,"Literally, a sheep with black wool amidst a flock of otherwise white sheep.","A sheep with black wool, distinct from typical white sheep.","['A single black sheep standing out in a flock of white sheep in a green meadow.', 'A black sheep being held by a wool farmer with a backdrop of white sheep.', 'A black sheep standing next to a shepherd, with white sheep and rolling hills in the background.', ""A black woolly toy sheep amidst a group of white woolly toy sheep on a child's bedroom floor."", 'A black lamb in a pen with white lambs at a petting zoo.']",A noticeably dark sheep distinct from its lighter companions.,A black sheep standing distinctively among white sheep.,"Both captions clearly describe a literal black sheep among white ones. The second is more straightforward and direct, conveying the scenario succinctly.",A black sheep standing distinctively among white sheep.
armchair critic,"Literally, a person sitting in an armchair providing critique or opinion.","A person seated in an armchair, often talking, discussing, or commentating.","['A man in an armchair commenting on a football game on the television.', 'An adult in an armchair, surrounded by books, voicing critique on a documentary.', 'A person sitting in an armchair with a microphone, hosting a podcast.', 'A woman in an armchair with a laptop, voicing her opinions on an online forum.', 'A man in an armchair critiquing a piece of artwork displayed on a digital tablet.']",Person in an armchair expressing their opinion.,Armchair occupant providing commentary.,"Both captions describe the literal image of an armchair critic. The first one gives a more complete picture, specifying that the armchair occupant is expressing their opinion.",Person in an armchair expressing their opinion.
gravy train,"Literally, a gravy train could be a train model or a graphic illustration filled or drenched with gravy.","A train that is filled with, delivering, or covered in gravy.","['A toy train with little gravy boats as carriages, running on tracks around a Thanksgiving dinner setting.', ""An illustrated children's book cover featuring a colorful train pouring streams of gravy on its track."", 'A funny kitchen poster showing a vintage train engine with a pouring gravy spout instead of a steam chimney.', 'A CGI animation of a bullet train covered in gravy rushing through a landscape filled with food items.', 'A three-dimensional cardboard model of a train designed to deliver gravy, displayed at a food festival.']",A representation of a train associated with gravy.,An imaginative depiction of a train flowing with gravy.,"Both captions describe the literal image of a gravy train. The second one evokes more of the humorous, surreal image typically associated with such an illustration.",An imaginative depiction of a train flowing with gravy.
rat race,"Literally, a rat race could be a race competition involving rats, possibly through a maze or a specified track.",A race or competition where rats are the participants.,"['Rats racing to win a piece of cheese at the end of a lab maze.', 'Children and adults gathered around watching a rat race at a county fair.', 'A group of rats running in a straight race line towards a finish line in a pet store.', 'An animated movie scene with anthropomorphic rat characters participating in a racing competition.', ""A home-videos' compilation cover of pet rats racing in obstacle courses set up by their owners.""]",Rats competing in a running event.,A high-speed competition between rats.,"Both captions capture the literal image of a rat race well. The first one is more descriptive about the nature of the event, while the second captures the intensity and competition aspect.",Rats competing in a running event.
hot potato,"Literally, a hot potato can refer to a potato that is hot, possibly straight from being cooked or heated.","A potato that is hot, usually right out of the oven or boiler.","['A steaming hot potato being pulled out of a hot oven.', 'A hot potato pierced with a fork, with steam visibly rising from the puncture in a kitchen scenario.', 'A person’s hand recoiling from a hot potato she just tried to pick up from a campfire.', 'A hot potato on a barbecue grill, with hot coals underneath, at an outdoor barbecue party.', 'A hot potato being passed around a dinner table as a side for a hearty meal.']",A steaming hot potato freshly cooked or heated.,"A potato hot to the touch, straight from cooking.","Both encapsulate the literal sense of a hot potato. The second caption does so more dynamically, suggesting the potato has just been cooked.","A potato hot to the touch, straight from cooking."
spring chicken,"Literally, it could mean a chicken bred in the spring season. Could also mean a mechanical or toy chicken made to hop or jump using spring mechanism.",A young chicken or a spring-activated toy chicken.,"['A fluffy chick standing in a grassy field with blooming flowers, signifying the spring season.', 'A close-up of a mechanical toy chicken, with visible springs in its feet that allow it to hop.', 'A tray of newly hatched chicks, a dated label indicating they were born in spring.', 'An animated photo of a chicken-shaped toy jumping on a prominently visible spring.', 'A farm scene depicting hens tending to their chicks, blooming flowers and buds filling the background.']",A chicken symbolizing or made to bounce with the essence of spring.,A springtime or spring-activated chicken.,"The first caption includes 'the essence of spring,' which may not apply to the mechanical toy. The second caption is more generalized and suits all situations.",A springtime or spring-activated chicken.
love triangle,"Literally, it could mean a triangular object with symbols or depictions of love, such as hearts, on its three sides.",A three-sided figure with representations of love.,"['A triangular canvas with hearts painted on all three sides, standing on a desk.', 'A crystal prism reflecting rainbow lights, tiny etched hearts visible on each face.', 'A triangular chocolate box adorned with love quotes and heart symbols on its faces.', 'A hanging wooden wall decor in the shape of a triangle, covered with photos of loved ones.', 'A triangle-shaped greeting card opened to display handwritten love messages on its three sides.']",A triangular piece illustrating love.,A three-sided symbol of love.,"Both captions accurately describe the literal interpretation. However, the second caption is slightly more concise and sounds better.",A three-sided symbol of love.
black box,"Literally, it refers to a box that is black in color. Could be of any size, shape or purpose.",A box that is colored black.,"['A large black box placed in a brightly lit room, the contrast making it seem more imposing.', 'A small, elegant black box holding a piece of jewelry, sitting on a velvet cushion.', 'A black box lying among several other boxes of different colors in a storage room.', ""A mysterious black box with an unknown item inside, placed on a detective's desk."", 'A black box privacy screen around a voting booth.']",A black-colored cuboid object.,A box in the color of darkness.,"Both captions address the literal interpretation well. However, 'A black-colored cuboid object' seems more straight to the point and descriptive.",A black-colored cuboid object.
hen party,"Literally, it could mean a gathering of hens or chickens, mostly used for a gathering of female birds.",A group of hens or female chickens together.,"['A flock of hens pecking at grain scattered on the ground in a farmyard.', 'A group of hens huddled together in a henhouse, laying eggs.', 'An illustration of anthropomorphized hens wearing party hats and holding balloons.', 'Several hens clucking around a feeder in a colorful, bustling chicken coop.', 'A group of hens fluttering excitedly around a newly arrived cockerel.']",A social gathering of hens.,A group of hens congregated together.,"Both captions encapsulate the literal interpretation well. However, 'A social gathering of hens' might give it a more purposeful depiction, like an actual party.",A social gathering of hens.
