target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
old flame,"Refers to a person with whom one had a passionate romantic relationship in the past. It suggests affectionate nostalgia, rekindled feelings, or unfinished emotional business.",An earlier fire that is no longer burning.,"['A man seeing his high school sweetheart at a 10-year reunion and feeling nostalgic.', 'A woman stumbling upon a love letter from an ex-boyfriend and looking lost in thought.', 'Two former lovers accidentally meeting at a coffee shop and experiencing a flood of memories.', 'Old framed photographs of a couple who broke up but still carries past feelings for each other.', 'An individual unexpectedly running into their previous romantic partner at a public place, expressing surprise and nostalgia.']",Revisiting a spark from one's past.,An unexpected encounter with a forgotten love.,"Both captions deal with memories of past romance, but 'Revisiting a spark from one's past' appropriately wraps the sentimental longing and past connection the idiom suggests.",Revisiting a spark from one's past.
zebra crossing,"Refers to a type of pedestrian crosswalk that is characterized by alternate dark and light stripes on the road, denoting where pedestrians can safely cross. It emphasizes traffic regulation and pedestrian safety.",A crossing path at a road for pedestrians that has the same black-and-white striped pattern as a zebra.,"['A busy city scene with pedestrians waiting to cross a zebra-striped crosswalk.', 'Children guided by a patrol guard while crossing a zebra-striped path to get to their school.', 'A cityscape showing bright zebra crossings lit by streetlights among the bustling traffic.', 'A driver slowing down, allowing a pedestrian to safely cross the road at a zebra crossing.', 'Pedestrians confidently stepping onto a zebra crossing, knowing that they have the right of way.']",Navigating safely across the busy streets.,Safe passage marked by alternate stripes.,'Navigating safely across the busy streets' better captures the sense of protection and regulated pedestrian movement associated with the term 'zebra crossing.',Navigating safely across the busy streets.
eye candy,"Describes someone or something that is very attractive or pleasant to look at, often without much depth or substance. It implies visual appeal and often carries connotations of superficiality.",Sweet food for the eyes.,"['A magazine cover featuring a dazzling celebrity deemed attractive by many.', 'A sleek, modern car designed with aesthetics as the primary focus, attracting a crowd of onlookers.', 'A glitzy storefront display, designed to entice customers with visual appeal.', 'A handsome fitness model who turns heads at the beach.', ""A scenic view that's a popular tourist attraction mainly for its stunning beauty.""]",Charming to look at but lacking depth beyond the surface.,A feast for the eyes with little to satisfy the mind.,"'Charming to look at but lacking depth beyond the surface' directly addresses the concept of superficial beauty, which encapsulates the idiom 'eye candy.'",Charming to look at but lacking depth beyond the surface.
ivory tower,Represents a state of privileged seclusion from practical concerns or mundane realities. The phrase often denotes academic or literary detachment from the real world.,"A high, invulnerable, and remote place, metaphorically made of ivory.","['A scholar engrossed in their study in a grand, secluded tower overlooking a bustling cityscape.', 'A literary figure, hermitic in a luxurious cabin, seemingly detached from the ordinary world.', ""A line of 'everyday people' being kept at a distance from a large, aloof structure representative of an exclusivist institution."", 'An artist isolated in a high studio, avoiding the hustle and bustle of life to work on their masterpiece.', 'A world-renowned scientist working in a secluded, advanced research facility, disconnected from societal issues.']",Exclusivity and isolation from everyday realities.,"Secluded in a place of privilege, far removed from practical life.","Both captions encapsulate the idea of seclusion and privilege. However, 'Secluded in a place of privilege, far removed from practical life' better incorporates the hints of disconnect from the real world that are inherent in the phrase 'ivory tower.'","Secluded in a place of privilege, far removed from practical life."
black sheep,"Refers to someone who is odd, different, or doesn't follow the norms of the group or family, usually in a negative context.",A sheep with black wool.,"['A set of white sheep with a single black sheep in the middle, being avoided by the others.', 'A black silhouette of a sheep among white silhouettes, symbolizing being different from the group.', 'A black sheep standing in front of a fence while white sheep graze together, signifying exclusion.', 'A paper cut-out of a black sheep amid white ones, displaying visible distinction.', 'A black sheep going the opposite direction in a line of white sheep, showing defiance or nonconformity.']",Standing out from the crowd in a nonconformist way.,Being different and out of place.,'Being different and out of place' represents the core concept of the idiom most accurately and succinctly.,Being different and out of place.
armchair critic,Denotes someone who opines about issues or situations without having any real experience or direct involvement.,A critic who sits in an armchair.,"[""A man watching a soccer match on TV and criticizing the players' tactics."", 'An individual in an armchair, scrutinizing a painting, without having any experience in art.', 'A person seated complacently in an armchair, hurling judgments at news reports.', ""Someone reclining lazily in a chair and commenting negatively about a book they've barely read."", ""A remote worker critiquing a physical workplace environment he's never been part of.""]","Offering critiques from a place of comfort, without practical experience.",Judging situations from afar without firsthand involvement.,'Judging situations from afar without firsthand involvement' captures the essence of the phrase accurately and succinctly.,Judging situations from afar without firsthand involvement.
gravy train,"Signifies an easy, often lucrative, source of income that requires little effort.",A train transporting gravy.,"['A person sitting comfortably in a luxury train, while money rains down from above.', 'A train literally made of gold, symbolizing constant cash flow with minimal effort.', 'A caboose filled with money bags at the end of a train, showing a job providing unearned comfort.', 'Character relaxing on a train where every amenity is served on a silver platter, representing pampering and effortless income.', 'A money-printing machine placed conveniently on a train, depicting immense wealth without struggle.']",Riding towards easy wealth with little effort.,Enjoying the comfort of an effortless income.,"Both captions depict the notion of an easy source of wealth, but 'Enjoying the comfort of an effortless income' captures the essence of the phrase more effectively.",Enjoying the comfort of an effortless income.
rat race,"Refers to an endless, self-defeating pursuit of wealth or material goods, often associated with stress and long working hours.",A race among rats.,"['A horde of people, represented as rats, endlessly chasing a cheese-shaped dollar symbol through a maze.', 'Employees rushing in a spinning hamster wheel symbolizing a relentless corporate race.', 'A rush hour crowd heading towards a city business district, representing the stressful pursuit of career advancement.', 'Rats in a maze chasing after a briefcase, personifying the endless pursuit of professional success.', 'A businessman running on an infinite office treadmill chasing a dollar-shaped carrot, illustrating a never-ending pursuit of wealth.']","Caught up in a stressful, endless pursuit of wealth.",Stuck in a relentless cycle of chasing material success.,"Both captions illustrate the essence of the phrase, but 'Caught up in a stressful, endless pursuit of wealth' slightly better encapsulates the stress element of the idiom.","Caught up in a stressful, endless pursuit of wealth."
hot potato,"Refers to a controversial issue or situation which is embarrassing or difficult to handle and thus, is avoided or passed on to someone else.",A potato that is hot.,"['People throwing a literal hot potato to each other, symbolizing a contentious subject being passed around.', 'A politician juggling a flaming potato, indicative of a tricky political situation to navigate.', 'A businessman quickly passing off an overheated laptop to a colleague, denoting a problematic task.', ""Characters tossing a scorching sphere engraved with the word 'Issue,' illustrating the avoidance of conflict or difficult matters."", 'Personified hot potato being avoided by a crowd, representative of escaping from a troubling situation.']",Avoiding a difficult or controversial situation.,Passing off a sensitive issue to avoid handling it personally.,"'Passing off a sensitive issue to avoid handling it personally' accurately depicts the essence of the phrase, focusing on evasion and irresponsibility.",Passing off a sensitive issue to avoid handling it personally.
spring chicken,Refers to someone who is young and vibrant. Often used negatively to suggest that someone is no longer young or energetic.,"A young chicken, usually one in the spring season.","['A middle-aged man vainly trying to school young athletes on a basketball court.', 'A woman dressed youthfully, struggling to keep up with the youthful energy of a party.', 'An older worker trying to keep up with young colleagues in a fast-paced digital startup.', 'A mature actress applying makeup, attempting to conceal her age.', 'An elderly man attempting stunts on a skateboard in a park filled with laughing kids.']",The struggle to keep up with the energy of youth.,Efforts to reclaim lost youth.,"While the first caption encapsulates the struggle of older individuals, the second one, 'Efforts to reclaim lost youth,' presents a more emotional and relatable perspective on the idiom. This caption suggests the active pursuit of youth, rather than just struggling with aging.",Efforts to reclaim lost youth.
love triangle,Describes a situation where two people vie for the romantic affections of the same person.,A geometric figure with three points and lines connecting them.,"['A man torn between two women, both pulling at his hands.', 'A woman in the center with two men on either side, each offering a rose.', 'A single man at the apex of a triangle drawn in sand, with two women at the other points.', 'Three hands reaching for the same heart locket from different directions.', 'Two suitors in formal attire competing for the attention of an elegantly dressed woman.']",The heart caught in the tug of war of affections.,Conflicting romantic interests vying for the same heart.,"The first generalized caption poetically encapsulates the tension in a love triangle situation. It subtly brings out the emotional chaos of the central person involved. However, the second caption, 'Conflicting romantic interests vying for the same heart,' provides more clarity and helps paint a clearer picture of the idiom's meaning.",Conflicting romantic interests vying for the same heart.
black box,"Refers to something mysterious or complex, often a system or technology, that functions but whose workings are not understood or transparent.",A box that is black in color.,"['A complex machine with hidden inner workings, producing output without revealing how.', 'A man staring at a large, black cube radiating a faint glow.', 'Technicians scratching their heads over a cryptic machine with nonsensical readings.', ""A shoppers looking puzzled at a product described as 'magic' with no information on how it works."", 'A group of scientists surrounding a mysterious black object, trying to decipher its function.']",A complex system shrouded in mystery.,The enigma of an opaque functioning process.,"Both captions capture the concept of mystery and opacity well. The first one, 'A complex system shrouded in mystery,' may be a bit clearer for those unfamiliar with the idiom, as it focusses on a system that is difficult to understand.",A complex system shrouded in mystery.
hen party,"Refers to a pre-wedding celebration amongst women, equivalent of a bachelorette party.",A gathering of female birds (hens).,"['A group of women in celebratory hats and sashes, cheering and clinking glasses.', 'A bridal squad in matching t-shirts orchestrating a surprise party for their bride-to-be friend.', 'A living room filled with excited women, laughing and playing party games around a bride in a tiara.', 'Women clustered around a table laden with presents, celebrating the soon-to-be bride.', 'A bride unwrapping gifts surrounded by her all-female friends and family, all laughing and cheering.']",Female camaraderie in celebration of a bride-to-be.,A joyous all-women celebration prior to a wedding.,"The first caption strongly emphasizes the bonding aspect, while the second one is more descriptive of the event. Between the two, 'A joyous all-women celebration prior to a wedding,' captures the essence of a 'hen party' the most aptly.",A joyous all-women celebration prior to a wedding.
acid test,Refers to a conclusive test to prove the effectiveness or value of something.,A chemical test that determines the presence of gold using acid.,"['A man poised to push a big red button on a complex machine, with spectators holding their breath.', 'An stressed student about to take a deciding final exam, with their future outcome flashing in the background.', 'A runner at the starting line of a crucial race, concentration etched on their face.', 'An inventor preparing to demonstrate a new device to a critical audience.', 'A chef presenting a signature dish to a panel of stern-faced critics.']",The decisive moment that determines success or failure.,A critical test that sets the verdict.,"Both captions define the crucial nature of an 'acid test.' However, the first one, 'The decisive moment that determines success or failure,' encapsulates the tension and the significance associated with the final verdict, thus capturing the figurative essence more efficiently.",The decisive moment that determines success or failure.
inner circle,"Refers to an exclusive group of people who hold power, influence or are privy to certain information within a larger group or organization. Connotes exclusivity and restricted access.",A circular shape found inside another larger circular shape.,"['A meeting in progress where only a few voices are being heard around a table as they discuss important matters.', 'An illuminated circle in a crowd, with a group of people engaged in intense discussion, signifying their exclusivity.', 'A direct contrast revealed by an overhead view of a large square with people along the edges, but only a few individuals occupying the central spot.', 'A large gossip circle consisting of many people, yet the secrets or key information only circulate within a smaller group in the middle.', 'A clear division shown in a large corporate workspace, with a smaller, more prestigious meeting room at the center.']",A select group privy to special knowledge or influence.,Exclusive concentration of power and influence.,"The first caption emphasizes the access to special information, whereas the second touches on power and influence. The 'Exclusive concentration of power and influence' encapsulates both aspects of the idiom.",Exclusive concentration of power and influence.
bad apple,Describes a person who negatively affects the group they’re part of or causes trouble within it. Connotes the potential for one person's influence to spoil the whole batch.,A rotten or spoilt apple.,"['An apple tree filled with healthy apples, with one rotted apple causing a blight on one branch.', 'A team working together harmoniously when one person starts causing trouble, disrupting the entire process.', ""A basket filled with fresh apples, with a distinctly decayed apple in it, visually 'contaminating' its surroundings."", 'A clear contrast between one spotlighted employee slacking or misbehaving, making his team members appear productive.', 'One upset customer spoiling the cheerful atmosphere in a coffee shop by arguing with the staff.']",One problematic element upsetting the harmony...,The spoil that disrupts the whole batch...,"The first caption embodies the essence of the idiom subtly, discussing how just one person can upset a group's harmony.",One problematic element upsetting the harmony...
honey trap,"Refers to a strategy where an attractive person is used to entrap or lure someone into a compromising position. Connotes seduction, manipulation, and deception for strategic gain.",A trap designed to catch wild bees using honey as bait.,"['A traditionally good-looking spy flirting with a target in a bar for obtaining valuable information.', 'A businessman seduced by a charming lady who actually aims to acquire his trade secrets.', 'An attractive person acting friendly towards a lonely individual, intending to manipulate or blackmail them later.', 'A scene from a romance film where one character uses their looks and charm to deliberately lead the other into a trap.', 'An attractive person in a detective storyline secretly recording a conversation to expose the other person.']",Using charm and allure as a tool for deception.,A seductive snare trapping the unsuspecting.,The second caption best captures the essence of the idiom by highlighting both the attractive lure and the resultant entrapment.,A seductive snare trapping the unsuspecting.
pins and needles,"Describes the sensation of tingling in one's limbs, usually as a result of sustained pressure. Also used to describe a state of nervous anticipation.",Sharp pointed metal devices used as sewing tools.,"['A person checking their watch, visibly anxious as they wait for a phone call or interview result.', 'An athlete poised for action, waiting for the starting signal.', 'A student biting a pencil, nervous before their exam starts.', ""A character looking out a window, anxiously expecting someone's arrival."", ""A child unable to sit still on Christmas Eve, excited and nervous about Santa's visit.""]",Caught in a tense anticipation.,Anxious expectancy tinged with excitement.,"Both the captions encompass the sense of nervous anticipation. The second caption, 'Anxious expectancy tinged with excitement' adds the possible aspect of excitement, making it a more rounded choice.",Anxious expectancy tinged with excitement.
bun in the oven,A colloquial expression used to announce that a woman is pregnant. It connotes an anticipation of an impending new addition to the family.,A baked good being cooked inside an oven.,"['A woman reading a positive pregnancy test, with joy and surprise painted on her face.', 'An oven timer ringing as a couple hugs and smiles, a symbolic representation of the pregnancy announcement.', 'A couple holding a small baby onesie, looking lovingly at each other, implying a bun in the oven.', 'A baby shower scene with a cake shaped like an oven and a marzipan bun inside.', 'A mommy-to-be holding her baby bump with an actual bun baking in the oven in the background.']",Joyous anticipation of a forthcoming addition to the family.,The warm waiting period for a new life.,"The first caption gets to the heart of the idiom, encapsulating the joy and anticipation of a new family member.",Joyous anticipation of a forthcoming addition to the family.
loan shark,"Refers to a person or entity that offers loans at extremely high interest rates, typically under illegal conditions. Implies exploitation in lending, with severe consequences for non-payment.",A shark that lends things.,"['An intimidating figure handing out money in an ominous dark alley with exaggerated interest numbers pasted on the walls.', 'A shark character surrounded by various currency symbols, portraying a predatory attitude.', 'A person drowning in a sea of falling bills, with a silhouette of a shark lurking in the depths.', 'A noose made from dollar notes, poised above a desperate borrower, signifying predatory lending practices.', 'A person trapped in a giant net made of dollar bills in water, with shark fins circling around.']",Caught in the dangerous waters of excessive lending.,Drowning in debt while predators circle.,"Both captions depict the predatory and exploitative nature of a loan shark effectively, but the second one, 'Drowning in debt while predators circle,' more vividly illustrates the impending danger and desperate situation.",Drowning in debt while predators circle.
open book,"Describes a person who is easy to understand or predict because their thoughts, feelings, or plans are easily discerned or candidly shared.",A book that is open.,"['A person with a book metaphorically replacing his chest, exposing its text to others.', 'A book with its pages transparent, revealing its content easily.', 'A human figure made of pages from an open book, showing its content flowing freely.', 'A person whispering to a book and its pages flutter open, symbolizing revealing secrets.', 'A caricature of a man, with his head as an open book displaying the thoughts inside.']",Opening up to allow a clear view within.,An open reading of thoughts and emotions.,'An open reading of thoughts and emotions' directly captures the essence of the idiom. This phrase effectively communicates its openness and candidness.,An open reading of thoughts and emotions.
baby blues,"Describes a period of sadness, anxiety, and depression that some new mothers experience after childbirth, typically a few days after delivery. Connotes a sense of emotional distress and unease in motherhood's transition.",Blue color associated with a baby.,"['A new mother sitting in a dimly lit room, holding her baby but her expression shows sadness.', 'An illustrated scene of a woman with a crying blue baby icon hovering above her, symbolizing her emotional state.', ""A pair of blue baby booties placed near a window, while the mother's desolate silhouette is visible in the background."", 'A woman holding her newborn, her face shaded with blue, symbol of her melancholic state.', ""Reflection of a dejected mother in a baby's blue blanket.""]",Touched by the unexpected blues of motherhood.,Postpartum blues casting a shadow on joyous moments.,"Both captions acknowledge the unexpected emotional struggle despite the joyous event, but the second one 'Postpartum blues casting a shadow on joyous moments' explicitly makes a reference to the situation at hand.",Postpartum blues casting a shadow on joyous moments.
silver bullet,"Refers to a straightforward solution to a complicated problem. Implies an imaginary remedy that can instantly and effectively solve a major problem, often unrealistically.",A bullet made of silver.,"['A large, complex puzzle with an ornate lock, and a silver bullet being inserted as the key.', 'A tangled web of strings and in the middle a silver bullet, slicing through them with ease.', 'A dark and forbidding maze with a silver bullet shooting through towards the exit.', 'A mountain of problems signified by piled-up paperwork on a desk and a silver bullet cutting through them.', 'An intricate mechanical system with gears and sprockets, getting fixed by the introduction of a silver bullet.']",Cutting through complex difficulties with ease.,A single-shot answer to intricate problems.,"'A single-shot answer to intricate problems' accurately communicates the idiomatic use, it merges the essence of the straightforward remedy and its effect on complicated issues.",A single-shot answer to intricate problems.
brain surgery,"Used to describe a task or problem that is extremely difficult or complex, requiring intellectual effort. Suggests that the task or problem is as difficult as conducting brain surgery.",Surgery performed on the brain.,"['A person looking puzzled over a complex jigsaw puzzle, comparing it to a detailed diagram of a brain surgery.', 'A man in deep thought before a giant maze, linked to the complexities of brain surgery via thought bubbles.', 'A scientist scrutinizing a difficult chemical equation with intricate formulas, with layered images of a brain surgery.', 'A person sitting before a massive, tangled ball of yarn, trying to disentangle it, along with an imagination bubble showing the likeness with brain surgery.', 'Engineer looking at a highly complicated blue print, thinking it’s as complex as a brain surgery.']",Tackling problems as intricate as brain surgery.,Brain surgery level of complexity.,"'Brain surgery level of complexity' is succinct and emphasizes the high degree of difficulty and complexity involved in the task. It has a direct and strong correlation to the idiomatic meaning, which makes it a better choice.",Brain surgery level of complexity.
red flag,"Refers to a warning sign or signal that something might be wrong, typically in the context of relationships or business dealings. It suggests a cause for concern or potential problem.",A flag that is colored red.,"['An individual reading a contract with blaring red sirens in the background.', 'A couple in a conversation, with a red banner flapping in the wind above them indicating potential relationship problems.', ""A prospective home buyer eyeing a beautiful property, but there's a red flag planted in the yard indicating underlying issues."", ""A mother looking worriedly at her child's grades, a red flag symbol hangs in the room."", 'A worker reviewing a failed safety inspection report with a bold, red flag waved visibly at the top.']",Spotting a warning sign in an uncertain situation.,"Recognizing potential problems, marked by a red alert.","'Recognizing potential problems, marked by a red alert,' clearly captures the connotation of the idiom while being applicable to all five scenes.","Recognizing potential problems, marked by a red alert."
white elephant,"This term refers to an expensive, burdensome possession that's difficult to maintain or get rid of. Often, such possessions look valuable but are more trouble than they are worth.",An elephant that is white in color.,"['A person struggling to carry a huge, gleaming gemstone, visibly distressed by its weight.', 'A family living in a grand mansion but being overwhelmed by its upkeep, represented by a leaky roof and cracked walls.', 'A businessman owning a sleek private jet, but the hidden costs of maintenance are represented by a large elephant-shaped balloon tied to it.', 'A collector holding an incredibly rare, big antique that takes too much space and demands excessive attention and care.', ""Someone with a luxury sports car, but underneath the shiny exterior, it's full of mechanical issues.""]",A valuable but burdensome possession dragging you down.,The weight of maintaining an extravagant but challenging asset.,"The first caption encompasses the inconvenience and hassle associated with a 'white elephant,' making 'A valuable but burdensome possession dragging you down' the better choice.",A valuable but burdensome possession dragging you down.
two-way street,This idiomatic phrase refers to situations that involve reciprocity or mutual exchange. It is commonly used while talking about relationships or interactions where both parties should give and take equally.,A street that allows vehicles to travel in two directions.,"['Two people shaking hands, each holding a gift for the other.', 'A couple working together to build a house, showing mutual effort.', 'Two friends helping each other studying for an exam, taking turns teaching and learning.', ""Neighboring businesses promoting each other's services, strengthening each other's reach."", 'Colleagues sharing responsibilities and tasks equally, creating a balanced work environment.']",Fostering a reciprocal relationship built on equal give and take.,The effectiveness of a mutually beneficial exchange.,The phrase 'Fostering a reciprocal relationship built on equal give and take' captures the full meaning of the idiom and is broad enough to fit all the image ideas.,Fostering a reciprocal relationship built on equal give and take.
rat run,"Refers to a complex network or route that's typically used to avoid congestion or more highly trafficked paths. It indicates a quicker, less-popular, often convoluted alternative to busy routes.",A route preferred by rats due to its complexity or obscurity.,"['A busy city street with highlighted, twisted alleyways where cars are taking shortcuts.', 'A person navigating through a maze, avoiding the main, clogged path.', 'A riverboat skipping the main channel and taking a serpentine tributary to hasten its journey.', 'Delivery drivers using backroads and obscure streets to avoid traffic and deliver packages faster.', 'An ant winding its way through a complex trail, avoiding other crowded ant highways.']","Navigating along a lesser-used, convoluted path for quicker progress.",Preferring a complex route as an alternative to avoid congestion.,"The phrase 'Navigating along a lesser-used, convoluted path for quicker progress' accurately embodies the meaning of the idiom while applying to all the image ideas.","Navigating along a lesser-used, convoluted path for quicker progress."
graveyard shift,Refers to a work shift that runs through the late hours of the night until early morning. Indicates a period of labor that takes place when most people would ordinarily be asleep.,A shift at a graveyard.,"['A security officer patrolling a quiet, deserted building during the night.', 'An exhausted nurse tending to patients in a dimly lit hospital ward at 3am.', 'A factory worker operating machines all alone in a large, echoey warehouse.', 'A late-night call center employee answering calls in a virtually empty office.', 'A lighthouse keeper maintaining a constant vigil during the dark, stormy night.']",Toiling through the night while the world sleeps.,A demanding late-night labor that stretches into the early morning.,'Toiling through the night while the world sleeps' perfectly captures the essence of a graveyard shift and is applicable to all five image scenarios.,Toiling through the night while the world sleeps.
dirty money,Refers to funds derived from illegal or unethical activities. This idiom suggests a negative moral judgment of the way the money has been earned.,Money that is physically dirty or unclean.,"['A person gloating over stacks of cash concealing a sinister shadow, evoking illegal operations.', 'A businessman in a suit washing money in a sink, implying money laundering.', 'Money emerging from a chimney, symbolizing unclean profits from pollution.', 'A wallet full of grubby, stained banknotes, indicating dishonest gains.', 'Pile of cash with a mask, symbolizing illegal crime.']",Profits from shady sources.,Earnings tainted by immoral deeds.,Caption 2 captures the moral dimension of the idiom more directly.,Earnings tainted by immoral deeds.
high life,"Describes a way of life that is characterized by luxury, wealth, and indulgence in pleasures. The phrase emphasizes an upper-class lifestyle, high living standards, or pursuit of pleasures often tied to wealth.",Life that is high in the sky or at high altitude.,"['A group of people celebrating in a classy rooftop lounge overlooking the city skyline at night.', 'A person lounging next to a lavish pool in a luxury resort, with a fancy cocktail at their side.', 'A woman stepping out from a private jet with shopping bags branded from ultra-high-end shops.', 'A business tycoon enjoying a ritzy dinner in a high-class restaurant with an opulent interior.', 'An extravagant yacht party in a beautiful coastal locale, with champagne and jovial company.']",The opulence of a luxurious lifestyle.,Indulging in the pleasures of wealth.,Caption 2 successfully captures the pleasure-seeking aspect inherent to the phrase.,Indulging in the pleasures of wealth.
pain in the neck,Refers to someone or something that is very annoying or bothersome. It suggests a level of nuisance or trouble that is persistently irritating.,Physical pain in a person's neck.,"['A person at an office desk, irritated by a dripping tap that symbolizes a nagging problem.', 'A figure holding a giant, heavy chain that comes to a sharp point, pressing against the back of their neck.', 'An individual trying to work with a loud construction site right outside their window.', 'A man working on multiple computer screens with agitated expression, symbolizing tedious multitasking.', 'A person being followed around by a cloud raining specifically on them, personifying a bothersome situation.']",The burden of incessant annoyance.,Persistently bothered by a troubling issue.,Caption 1 gets to the heart of the idiom's meaning more successfully by emphasizing both the persistence and the negative aspect.,The burden of incessant annoyance.
guinea pig,Used to describe someone or something being used in an experiment or test. It suggests an object or person that is subject to experimentation to observe or evaluate the outcome.,A rodent of a South American species often kept as a pet or for scientific investigation.,"['A person sitting in a room full of experimental gadgets, looking slightly nervous.', 'A scientist observing an individual in a maze, representing a test subject.', 'An employee at a tech company testing a prototype gadget with curious eyebrows lifted.', 'A lab setting where a person is sitting with electrodes attached, signifying medical or neurological testing.', 'A human figure sitting in the midst of mouse traps, referencing the idea of risky experimentation.']",The subject of an experiment or test.,Testing ground for new ideas and trials.,Caption 1 is the simplest and most accurate way to convey the overall essence of the idiom.,The subject of an experiment or test.
cat's eyes,Refers to seeing in the dark or having keen observation in difficult situations. The phrase implies the ability to see or understand things that aren't immediately obvious.,"The eyes of a feline, usually known for nighttime visibility.","['A person outdoors at night, successfully navigating a path using only moonlight.', 'A detective piecing together clues in a dimly lit room, symbolizing sharp observational skills.', 'A person reading a book with tiny print in low light, suggesting good eyesight even in suboptimal conditions.', 'An individual spotting small details in an intricate artwork in a dim gallery, indicating attention to detail.', 'A figure confidently walking through a maze in the dark, using only intuition and superior perception.']",Navigating dark situations with sharp observation.,Piercing the darkness with keen insight.,"Caption 2 captures the cat's eyes metaphor nicely, emphasizing sharp perception and dexterity in dealing with obscure situations.",Piercing the darkness with keen insight.
cold turkey,Refers to abruptly stopping a habit or addiction without gradually reducing the habit or having any transitional period. The term is often used in context of drug or substance withdrawal.,The direct meaning would be a turkey that is cold.,"['A person disposing of cigarettes into a trash can with a determined expression.', 'A man sitting in an empty room, clearly discomforted, but refusing a bottle of alcohol offered to him.', 'A lady throwing a bag of pills into a fire, symbolizing an immediate cessation of drug use.', 'A man passing by a bar he used to frequently visit, without entering, to demonstrate a strong, abrupt decision to stop drinking.', 'A hand shaking as it pushes away a syringe, showing the struggle and will power in abrupt withdrawal.']",A determined end to unhealthy habits.,Abruptly saying goodbye to vices.,Both captions imply the abrupt discontinuation of a habit. 'A determined end to unhealthy habits' seems to emphasize determination and the unhealthiness of the habit while 'Abruptly saying goodbye to vices' captures the abruptness and immediacy of the action.,A determined end to unhealthy habits.
low-hanging fruit,"Refers to tasks, actions or goals which are easily achievable compared to others that require more effort. It is often used in a business context.",Fruits on a tree that are low enough to reach easily.,"['A person happily picking apples from the lower branches of a tree while ignoring the higher branches.', 'A businesswoman focusing on a board filled with easy tasks marked in green, leaving difficult tasks marked in red untouched.', ""Persons in a meeting focusing on the 'easy wins' section of a business presentation."", 'A man choosing to take the stairs rather than the rock climbing wall next to it.', 'A dart player aiming for a bigger, closer target, ignoring the smaller, farther ones.']",Choosing the easier path to quick success.,Opting for the readily achievable goals.,'Choosing the easier path to quick success' implies an easy way out while 'Opting for the readily achievable goals' implies a deliberate strategic choice. The latter seems to better encapsulate the idiom's meaning.,Opting for the readily achievable goals.
busy bee,"Describes a person who is always busy and active in their work or duties. This idiom likens such an individual to a bee, renowned for its industrious nature.",A bee that is busy.,"['A businessman multi-tasking with multiple screens and phones at his desk.', 'A mother cooking, cleaning, and taking care of her children all at once.', 'A student among books and screens, studying and researching simultaneously.', 'A restaurant chef managing many dishes at once in a bustling kitchen.', 'A shopkeeper simultaneously dealing with multiple customers.']",Juggling multiple tasks with endless energy.,"A whirlwind of activity, getting things done.","While both captions capture the essence of an industrious person, 'Juggling multiple tasks with endless energy' places more emphasis on the individual performing multiple tasks simultaneously, better reflecting the essence of a 'busy bee'.",Juggling multiple tasks with endless energy.
wet blanket,Used to describe someone who spoils other people's enjoyment by being negative or pessimistic.,A blanket that is wet.,"['A person at a party crossing his arms and looking displeased while everyone else is laughing and having fun.', ""In an excited group brainstorming session, one person consistently shoots down others' ideas with criticism."", 'In a crowd of cheering sports fans, one person sits indifferent and bored.', 'In a group of adventurous hikers at the mouth of a cave, one person is visibly scared and arguing against entering.', 'Among a group of friends trying out a new board game, one friend refuses to participate and looks disinterested.']",A damper amid enthusiasm and joy.,Casting shadows over shared fun and celebrations.,Both captions encapsulate the concept of spoiling enjoyment. 'A damper amid enthusiasm and joy' indicates the action in a neutral tone. 'Casting shadows over shared fun and celebrations' adds a layer of negativity which better aligns with the idiom's connotation.,Casting shadows over shared fun and celebrations.
chicken feed,"Refers to a very small amount of money, implying something is cheap or low in cost.",Food given to chickens.,"[""A woman looking at a price tag and smiling because it's lower than she expected."", 'A man at a car yard bargaining the price down to almost nothing.', 'A young boy opening his wallet to reveal only a few coins, but enough to buy a small candy he wanted.', 'A businessman grinning as he signs a lease for a new office at a lower rent than usual.', 'A customer at a flea market pulling out a small amount of cash to pay for a valuable antique.']",Getting value at a fraction of the cost.,Making purchases that barely dent the wallet.,'Getting value at a fraction of the cost' emphasizes the value-for-money aspect while 'Making purchases that barely dent the wallet' focuses on the low cost. The latter is more aligned with the idiom's intent.,Making purchases that barely dent the wallet.
monkey business,"Refers to silly, foolish, deceitful, or mischievous behavior. Often used to describe dishonest or irresponsible actions.",Business related to monkeys.,"['A group of people acting silly in a business meeting, throwing papers around and laughing.', 'A salesperson sneakily pocketing extra cash, symbolizing deceitful activities.', 'Kids making a mess and jumping around in a room, showing naughty behavior.', 'A businessman sneaking out of his office with a briefcase full of bananas symbolizing underhanded conduct.', 'A political figure represented as a cartoon monkey playing tricks on the public.']",A display of silly or dishonest behaviors,Engaging in mischief or underhanded activities,"Both captions depict mischief or wrongdoing, but the second one, 'Engaging in mischief or underhanded activities', delves deeper into deception and malicious intent, aligning more with the idiom's figurative meaning.",Engaging in mischief or underhanded activities.
