target_phrase,sense,definition
cat's eyes,literal,"The eyes of a feline animal, known for their distinctive shape and colors"
cold turkey,idiomatic,Sudden and complete withdrawal from an addictive substance or activity
low-hanging fruit,literal,Easily achievable objectives or tasks
busy bee,literal,A person who is constantly occupied or active
wet blanket,idiomatic,A person who discourages enjoyment or enthusiasm
chicken feed,idiomatic,A small or insignificant amount of money
monkey business,literal,Behavior that is not acceptable or is dishonest
grass roots,idiomatic,"The ordinary people as contrasted with the leaders or elites of a political party, community, etc"
marching orders,idiomatic,Instructions to leave or to begin a task
panda car,idiomatic,A British term for a police car
bread and butter,literal,"Basic food made from flour combined with water and yeast, usually spread with butter"
chocolate teapot,idiomatic,A thing that is of no practical use
pig's ear,literal,The ear of a pig
best man,literal,A male friend or relative chosen by the groom at a wedding to assist him during the wedding ceremony
big cheese,idiomatic,A person who is important or in a position of authority
eager beaver,literal,An enthusiastic and hardworking person
hair of the dog,idiomatic,The consumption of alcohol as a treatment for a hangover.
thin ice,literal,A layer of ice that is not very thick and can easily break under pressure.
snake in the grass,literal,"Literally refers to a snake hidden in grass, often claimed to be dangerous."
flea market,idiomatic,A type of street market that provides space for vendors to sell previously-owned merchandise.
big fish,idiomatic,An important person in a company or an organization.
fancy dress,literal,"A costume that is often worn for parties, or special events."
snail mail,literal,Traditional postal mail using envelopes and stamps.
heart of stone,idiomatic,"A person who does not show any sympathy, pity, or kindness."
party animal,idiomatic,"A person who loves social occasions and parties, often acting wild and energetic."
cold feet,literal,The state of one's feet feeling chilly or icy in temperature.
couch potato,literal,"A person who spends a lot of time sitting or lying down, usually watching TV."
peas in a pod,idiomatic,Two or more people who are very similar in appearance or manner.
sour grapes,literal,"Refers to the actual fruit, grapes, when they have a sharp, acidic taste."
hot air,idiomatic,Empty or boastful talk that is without real substance or worth.
green light,literal,A traffic light indicating vehicles may proceed.
watering hole,literal,A natural source of water in an area which animals can drink from.
flying saucer,idiomatic,A term often used to describe unidentified flying objects (UFOs).
act of god,idiomatic,A natural catastrophe which no human foresight can provide against.
field work,idiomatic,"Work that is done outside in the field relating to a person's job, rather than in an office."
big wig,literal,"A large wig, often worn by important people in the past as a symbol of their status."
