target_phrase,explanation,literal_definition,potential_definition_1,potential_definition_2,potential_definition_3,result
graveyard shift,"Refers to a work shift that runs through the late night until early morning. Elicits feelings of tiredness, gloom, and struggle associated with unconventional working patterns.","The rotation of work hours, usually from midnight to early morning.","A late-night work schedule, often going until sunrise.",Working hours that occur during the early morning hours.,The work shift that takes place overnight.,"A late-night work schedule, often going until sunrise."
dirty money,"This refers to money that has been earned illegally or immorally, evoking imagery of dishonesty, corruption, and criminal activity. It's generally used in discussions of illegal activities, such as drug trafficking or fraud.",Currency that is unclean or covered in dirt.,Money earned from bad or illegal deeds.,Cash that comes from dishonest actions.,Income gained through unlawful means.,Money earned from bad or illegal deeds.
high life,"This phrase is used to describe a luxurious or wealthy lifestyle, often characterized by extravagance and indulgence. It conveys connotations of wealth, luxury, and often, excess.",Living at a high altitude or in a tall building.,Living in wealth and luxury.,Enjoying a life full of riches and pleasure.,Leading a lifestyle marked by grandeur and indulgence.,Living in wealth and luxury.
pain in the neck,This idiom describes someone or something that is very annoying or troublesome. It often carries a sense of frustration or irritation.,An uncomfortable sensation in the neck area.,Someone or something really annoying.,A frustrating situation or person.,An irritant or thing that bothers you.,Someone or something really annoying.
guinea pig,"In idiomatic usage, a 'guinea pig' refers to someone used as a subject in an experiment or test. It evokes a sense of being experimented on, often without full knowledge or consent.","A small rodent, typically kept as a pet.",Someone used in an experiment or test.,A person who's being tested on.,An individual used for experimental purposes.,Someone used in an experiment or test.
cat's eyes,This term often refers to the reflective road studs that are used to indicate the road alignment in the dark. It gives an imagery of the cat's reflective eyes in the dark.,"The eyes of a feline, particularly notable for their reflective properties and ability to see well in low light.",Road markers that reflect light like cat eyes.,Reflective markers on roads similar to a cat's glowing eyes.,Bright road studs that remind of cat eyes in the dark.,Road markers that reflect light like cat eyes.
cold turkey,Refers to abruptly stopping a habit or addiction without a step down process. It's often associated with withdrawal symptoms and a strong determination.,"A turkey which is served cold, usually a leftover from Thanksgiving.",To suddenly quit something addictive without help.,"When you stop doing something you're used to, all at once.",Instantly halting a habit or behavior without gradual reduction,To suddenly quit something addictive without help.
low-hanging fruit,"Refers to tasks, objectives or goals that are easily achieved. It implies a strategic approach to achieving success with minimal effort.","Fruits that are hanging low on a tree, thus easy to reach.",Easy tasks or goals that can be completed with little effort.,Obvious or simple problems to solve or targets to achieve.,Tasks or accomplishments that are quickly and easily attained,Easy tasks or goals that can be completed with little effort.
busy bee,"Describes a person who is busy or industrious, just like a bee buzzing from flower to flower collecting pollen. It often carries a positive connotation.","A bee that is active, going from one flower to another.",Someone who's always occupied with tasks or activities.,A hardworking and constantly active individual.,A person who is continuously engaged in busy work,Someone who's always occupied with tasks or activities.
wet blanket,Refers to a person who spoils other people's fun by being negative or pessimistic. It carries a negative connotation of being a killjoy or a party pooper.,A blanket that is damp or soaked in water.,A person who ruins others' good time with their negativity.,Someone whose pessimism spoils fun or joy.,An individual who dampens enthusiasm or joy with their attitude,A person who ruins others' good time with their negativity.
chicken feed,"Indicates a small amount of money, often implying that it is insufficient. It is used when talking about meager incomes or petty cash.",A mix of grains and seeds fed to chickens.,A tiny amount of money that's considered not important.,"Insignificant cash, often not enough for needs.",An amount of money that is too small to matter,A tiny amount of money that's considered not important.
monkey business,"Refers to dishonest or silly behavior, often causing trouble or annoyance. It evokes associations with mischief, disarray, and a lack of seriousness or integrity.","Business operations involving monkeys, perhaps in a zoo or research facility.",Acts of being too playful or silly that can cause problems.,Dishonest or deceitful actions that stir up trouble.,Behavior lacking seriousness that potentially breeds chaos.,Dishonest or deceitful actions that stir up trouble.
grass roots,"Alludes to the very foundation or source of a thing, usually in politics, where it can refer to the main body of voters or the community. It evokes basicness, wide support, and organic growth.",The part of grass that is beneath the soil which anchors and nourishes it.,"Basic, wide-community support especially in a political context.",The ordinary people in a group or organization.,"The most fundamental level of something, especially of political support.","Basic, wide-community support especially in a political context."
marching orders,"Denotes dismissive command for someone to go away or to start on a new task. It evokes feelings of expulsion, confirmed instructions for a task, or determination.",Orders to march given to a troop of soldiers.,Telling someone to leave or to start something with urgency.,Clear instructions to proceed or to be expelled.,Orders given to someone indicating a task to be done or dismissal.,Telling someone to leave or to start something with urgency.
panda car,"In British slang, 'panda car' refers to a police car. The phrase often elicits associations with authority, law enforcement, and patrol.","A car that resembles or has attributes of a panda, possibly in color or design.",A police car doing rounds in a neighborhood.,A car driven by a police officer on duty.,A car colored or marked to indicate it is a police vehicle.,A police car doing rounds in a neighborhood.
bread and butter,"Refers to the main source of income or livelihood, or something ordinarily basic or daily necessity. It invokes feelings of sustenance, stability, and daily habit.",A basic food combination involving a spread of butter on a slice of bread.,The main way one earns money or supports oneself.,"Something simple and basic, yet essential for daily life.",Any staple or reliable source of income or satisfaction.,The main way one earns money or supports oneself.
chocolate teapot,"Refers to a thing or situation that is useless where it's needed or for the purpose it was designed for, as an actual chocolate teapot would melt when filled with hot tea. Evokes the frustration or absurdity of having something entirely unsuitable for the task at hand.",A teapot made of chocolate.,Something that can't do what it's supposed to.,A thing or person who fails to fulfill its intended purpose.,A useless thing in the context where it's needed.,Something that can't do what it's supposed to.
pig's ear,"Used to express a job, task, or anything done badly or clumsily, often referring to something simple that has been messed up. Evokes the sense of tasks being handled incompetently or unskillfully, resulting in a mess.",The ear of a pig.,A poorly done job or task.,Screwing up something simple.,A task or thing handled with great incompetency.,A poorly done job or task.
best man,"The best man is the chief assistant to the groom at a wedding. The phrase evokes a sense of honor, responsibility, and close friendship as it typically involves duties such as holding the wedding rings, organizing the bachelor party, and giving a toast.",The highest-quality man.,Groom's main buddy in a wedding.,Man who helps the groom at a wedding.,Most important male friend or relative to the groom in a wedding.,Groom's main buddy in a wedding.
big cheese,"The big cheese is an informal term for a person who has a lot of power and influence in an organization or a community. The phrase carries connotations of authority, influence, and likely respect or admiration, albeit sometimes begrudgingly given.",A piece of cheese that is large.,A very important or influential person.,Someone who has a bunch of power in a group.,The boss or leader of a group or community.,A very important or influential person.
eager beaver,"An eager beaver is someone who is very excited about doing certain types of work, often volunteering for tasks and working harder and longer than others. It evokes enthusiasm, commitment, and zealousness, but sometimes also a lack of sense of proportion or naivety.",A beaver that is eager.,Someone super excited to work.,An overly enthusiastic or hardworking person.,A person who can't wait to get working on something.,Someone super excited to work.
hair of the dog,"Refers to the practice of curing a hangover by consuming more alcohol. Evokes an image of desperate measures and a somewhat humorous, yet dangerously unhealthy, solution.",A piece of a dog's fur.,Drinking more to lessen a hangover.,Using the same problem as its own solution. ,Fixing a negative effect by repeating the cause.,Drinking more to lessen a hangover.
thin ice,Describes a precarious or uncertain situation where one little mistake could lead to a disaster. Evokes a sense of danger and need for caution.,"A thin, fragile layer of frozen water.",Being on the verge of getting into big trouble.,A dangerous situation with high risk of failure. ,Close to a bad outcome due to lack of caution.,Being on the verge of getting into big trouble.
snake in the grass,"Represents a person who is pretending to be friendly but is secretly planning to harm. Conveys distrust, deceit, and hypocrisy.",A snake concealed in tall grass.,A sneaky person who is secretly harmful.,A friend acting nice but planning something evil. ,Someone who pretends to be nice to betray you.,A sneaky person who is secretly harmful.
flea market,"Refers to a marketplace where secondhand goods are sold, similar to a garage sale or swap meet. Evokes a sense of bargain hunting and the joy of finding hidden treasures in used items.","A market where used goods are sold, typically in stalls or booths.",A marketplace for selling and buying used goods.,"A public area for selling old, secondhand items.",A place where people buy and sell used stuff.,A marketplace for selling and buying used goods.
big fish,"Typically refers to someone who is important or influential, often in a specific field or area. Carries an undertone of respect, envy, or potential exploitation.",A fish of large size.,An important or powerful person in a group or field.,Someone influential or successful in their domain.,A major player or key figure in a context.,An important or powerful person in a group or field.
fancy dress,"Refers to a type of party where guests are expected to dress up in outlandish or creative costumes. Evokes the spirit of fun, creativity and light-hearted social gatherings. Often associated with carnivals, theme parties and Halloween celebrations.",A dress that is more elaborate or decorated than everyday clothing.,A celebration where people wear crazy or creative outfits.,A fun party where you dress up in unusual costumes.,A social event where everyone shows up in creative clothing.,A fun party where you dress up in unusual costumes.
snail mail,"A humorous and slightly critical term used to describe traditional postal service, implying it is slower compared to modern electronic methods of communication. Evokes feelings of impatience and nostalgia.","Mail delivered in a physical manner and not electronically, akin to a snail's slow pace.",Traditional mail that is slow compared to email.,"Old-fashioned, slower way of sending letters and packages.","Letters or packages sent by post, which takes longer than email.","Old-fashioned, slower way of sending letters and packages."
heart of stone,"Describes a person who does not show emotions or empathy, and is unfazed by emotional situations. Conveys the sense of a hard, cold, impassive personality.","A heart, typically representing the emotional core of a person, made of stone, which is hard and cold material.",Being totally unemotional and unaffected by feelings.,A person who is cold-hearted and lacks empathy.,"Shows no feelings, hardly moved by emotional situations.",A person who is cold-hearted and lacks empathy.
party animal,"Used to describe a person who loves social gatherings and parties, and often behaves wildly or enthusiastically at such events. Evokes a sense of fun, energy, and possibly excess and lack of restraint.","An animal that parties, which in literal terms would be nonsensical.",A person who loves to party a lot and acts crazy at parties.,"Someone who is always at parties, having a wild time.",A person who enjoys social gatherings and behaves excitedly at them.,A person who loves to party a lot and acts crazy at parties.
cold feet,"Expression used when a person has a sudden hesitation or loss of confidence just before undertaking a significant decision or action, usually due to fear. Invokes feelings of anxiety, second thoughts, and doubt.",The state of having feet that are lower in temperature than normal.,Getting scared or nervous right before doing something important.,A sudden fear or hesitation before taking a big step.,Lost confidence just before doing something significant.,Getting scared or nervous right before doing something important.
